identifier,healthcareOrganizationName,address,contactPoint
71545a13-7a1d-4006-8d72-3104f77383c1,Faulkner-Howard Zorg,c8a70639-eb11-47b3-a7a9-c3787c65c1e5,23a7711a-8133-4876-b7eb-dcd9e87a1613
6288e1a5-cc45-4821-98a6-416d1775336d,"Garrett, Salazar and Clayton Tervisekeskus",d3290a4c-b5d3-4b16-a619-4cb1d71037d1,b421eaeb-5340-47ca-baf3-897a3e70f16a
5f3f5638-3870-4a14-b490-b6081dfc8352,"Green, Jones and Shelton Tervisekeskus",9cdeb3e6-0870-415c-afcd-81b5d24bace4,09e469e6-ec62-42c8-a648-ee38e07405eb
870f084c-7244-4536-a85e-25b4b3969057,"Nash, Anderson and Collins Zorg",971c702d-5bf4-4c04-ac64-2b4c49b25ded,14aa451c-a69c-4b85-9432-f8db6a174c1c
ccc14d51-73f6-40d8-a9f4-1cc04653a560,Lopez-Key Gesundheitszentrum,0cc36d8c-7786-4fe5-9675-ebf74fe30c9a,b9bdee2d-d663-449d-955e-18b1fa83ada4
fb5eb866-2640-411e-a9f2-c3c74505f4f6,Williams and Sons Gesundheitszentrum,4745dd9e-2789-4389-9f32-77fd1d77ce40,f24dfdd8-5091-4bdc-8ef0-66d44279b14d
f2ad985f-ff3e-4ba1-8ac7-28b4a41865bf,Brady Inc Tervisekeskus,15ace7a1-ceca-4ee3-90da-8a9516408169,8e751eb7-64d0-4913-991b-8adf0202861c
c2472fd6-03e9-4a02-8cea-2df00a66dc4e,Garcia PLC Gesundheitszentrum,d3b564b0-8be0-4c3e-9c94-938160c6b3ed,a36bcb01-67e9-4363-905c-053b25fdacbe
f164f9d8-4312-4ce2-9c21-51e17e56ac3d,Santana-Shaw Zorg,8147a8f4-5f0e-4320-b7f6-0e7f75f2bc20,ce1bb02a-cb4d-48d6-adb6-da351734a26c
586f1721-0785-48d7-b118-2d235bf80676,"Chan, Hale and Fisher Zorg",e38690e7-e27a-48e9-91c3-d1bcc6be6432,6d0c62c3-254b-47ae-9d0a-b994f20b575d
4ec985ff-94b2-4b9d-8881-9f421a42b629,Smith Ltd Gesundheitszentrum,24aeba79-e4b8-4987-98ba-0f0e120d7126,1f8941b6-e6a1-440b-b031-f4b9bb6b0095
788c161e-f3cc-4d8a-8b16-78e45f20f406,Carter Group Tervisekeskus,c13e66af-3c95-40d3-be2a-ad3e82221345,99e8c828-21da-432c-9c68-d4fd0bd7696f
48622a67-4a29-4067-9c66-a27b6a325333,"Riggs, Martinez and Stephenson Zorg",47b3df41-67c2-4355-8312-1af68b32992a,86ae9d5c-65ff-4adc-81ae-f3f700109824
862f78e1-25c2-4b6a-b575-bc6eeee84bcb,Mathis Inc Tervisekeskus,641659c0-78b6-4daf-9afb-9565068a3c38,f305ee95-afb1-40f4-94d4-dad6ddfae808
f46860a2-a604-45af-b4db-1c1eaa66b464,Price-Robinson Zorg,6d62e40c-638d-421a-bbc5-9e92ca1209ad,9626d8c4-344a-4454-b0a6-1c5e707421d4
0b5aafef-85a1-482a-8761-585b4168705a,Williams-Williams Zorg,56525ce0-3725-4d0c-b9c4-5c38b440ffe0,01d34690-a795-4c54-8a30-f7cd00fdec23
3fee2fc7-2e2d-4fdf-b57b-8a920a12f3b3,"Daniel, Turner and Black Tervisekeskus",4053b188-339d-48f5-9658-b1b33012ae1c,df39ccaa-580c-49fc-bb69-e69041300879
1e454241-45c1-40a8-a52b-a0ce627b585f,"Lam, Bishop and Mccormick Zorg",1b770deb-6f51-4a78-bea2-a33a51d11bcd,8397d412-7118-4b71-8707-e77b4bf0ae53
839137a6-a977-4b71-9e6d-2d7e9f312acb,Smith Ltd Gesundheitszentrum,3dd0c866-0649-4ef5-8fb2-de1ea0b976c2,584d3c02-0ff9-4318-922a-3a6211091978
f1c58f44-7e08-4c1b-8da6-a326451437d6,Newton Ltd Gesundheitszentrum,f4e1680b-05a0-4c72-b22a-4fc63f2de8a8,6d5b7d50-1417-44f9-b7c1-44fb2b16ad04
909b471c-0d1f-4a7f-90fc-e92295be263b,"Arnold, Villa and Johnson Tervisekeskus",88239867-c5dd-467b-88f1-100bfa3222c4,58ba0bf3-675e-4c52-9eb9-5739b8acdd81
ce8c037e-e51c-4cdb-8247-34dfdd1f8e30,Lee-Patton Gesundheitszentrum,fd768f63-5163-4e1d-8df7-a26786fadb0e,c0037457-0184-4803-9840-fccb2446ecee
53f3c158-42ce-41c0-8cd9-f2af339c5a75,Long-Martinez Tervisekeskus,067fece7-f1ff-46dc-b45a-a79bd855fb35,abbf66c7-680a-4e2a-866b-d06fa2b4d215
2ebed37d-05d1-46b6-acee-c38d511fcda9,Johnson PLC Gesundheitszentrum,8d7f7ba5-72e6-416e-a671-0ad2c1b5468a,e55e44b8-08a6-45b4-8321-0210a43c991d
59cd012a-06b4-4b6f-9f94-e3c818a77594,Buck-Burke Zorg,4fae667b-b2e7-4e77-8fe1-cedfa5387901,eb1c3ba4-5b9e-42d0-ab0c-9fddb61b03e9
f172840f-3e19-40ba-ae09-ccfba3dee81f,Gibbs-Reese Gesundheitszentrum,52a33c33-037e-4725-a5a1-bdaea747795e,dba45b5e-1498-465b-b9fe-0a1b7efbe877
52526d45-9c68-4df1-8a51-5e8746ba6855,"Cook, Wright and Taylor Gesundheitszentrum",e9e7e1ba-916b-41ee-afae-feda6b325d48,12b34a24-667f-4eeb-8889-832c37773772
a0c30ce9-57ac-49f2-a887-a3a9e63317c3,Austin and Sons Tervisekeskus,21d4fb7e-2258-4c89-98cc-f9b4354af1bd,76a933cf-65fd-4f69-93a2-5c9b6e3a52d7
8d37aebb-8fc7-47e3-a8b7-4f3dec3826bc,Reed-Fry Gesundheitszentrum,ea31e67a-e168-4205-bc0a-94de4e245cf7,fef06b04-68fc-442a-b6f2-59264e60678b
d4e4004b-9bde-499d-9a28-6b7a4d6d99a6,"Guerrero, Kim and Sutton Gesundheitszentrum",68adc28f-8463-416a-be65-6befe0efc989,eb6ec9e0-225f-4457-9662-5aa1056b565f
f2684ee1-5ad8-412d-bee1-a2a3024bfe48,Baker and Sons Gesundheitszentrum,8e5f37fa-68f4-4b51-b3fa-861390ed41f4,5c05c1f3-241d-4e27-8bf4-1e101c622f82
1ee1723b-4a96-46a4-a752-41027acf6bcc,Valencia-Thomas Zorg,5e146c30-bd2c-4b8d-b9eb-fa326c1b6811,c6b7e7cb-be0d-44ed-b306-1611ef96a214
062d7f7a-45da-41f3-9a7e-256db6ffe12c,"Obrien, Gaines and Miller Gesundheitszentrum",d24e3104-1dd2-4234-a131-24bd01275a63,852d2ee5-0061-4d30-9907-3286329cd43a
40d2d16f-3db6-42f4-adf2-fc823956fba9,Fisher PLC Tervisekeskus,51cd2c07-a8f7-4b61-b9d2-b2de92bba701,e93b4418-b170-41ed-9b04-0be38f41d3e4
da98da57-166a-4fc4-b513-198c67f8ab57,"Bishop, Guerrero and Rodriguez Tervisekeskus",7176d181-3e2b-4653-a258-edf30ff0952a,a54e6c8f-ecb3-477a-acef-5e55840658d1
