identifier,serviceDepartmentName,address,isPartOf,contactPoint,anchor
1010e43b-d6b9-4647-90da-3f941ebd27be,Midwifery,1c3678a6-0dad-494a-bea3-c3c4817b25bd,2bb6000a-1c64-4bf0-9960-43fca5fc733d,934d2c9a-f5a6-47f9-9af4-a3fedf0c3885,833cf90f-f555-4628-9d15-3fb4968051b7
21fe00d2-067f-4525-a21d-0f5ce58b2dce,Podiatric,c92f9903-acce-49b6-a2ea-d8ece9bdf589,2bb6000a-1c64-4bf0-9960-43fca5fc733d,b10fb3ce-8162-435e-8efa-c956dd886225,f64e8f4a-ef89-42e7-aa17-06669b6e83a9
41356aab-755f-4a0d-b0a4-c5f0507b7753,Toxicologic,17f74ca2-ba36-482f-9060-2aae995bb3c1,2bb6000a-1c64-4bf0-9960-43fca5fc733d,4ae04907-4dca-49fb-992e-6d4c528e6cc3,ca687a98-f48e-49a8-aaeb-5a328fad725d
241931b3-dc62-4e11-a4a1-c9fbfabd95cb,Primary Care,70e7e04b-a440-4988-bd22-95ef3bf526eb,2bb6000a-1c64-4bf0-9960-43fca5fc733d,daa95fab-9f93-4964-95d5-502635663dcb,8fa41d22-46dd-40ac-a0e3-0a4dfbcefcd0
b1a2614c-6c56-4c67-a720-c866d36833c7,Rheumatologic,fb99a978-8a48-4323-9035-046e96b7a1b6,2bb6000a-1c64-4bf0-9960-43fca5fc733d,48006faa-9ebb-4ec2-b13c-2f3a5943c7f3,080638c9-4967-49fb-b2e0-2961ac73189c
466955a4-164e-4a17-9bb2-5b9d81f70eeb,Speech Pathology,86b7b800-21da-4d03-8152-d67f5809e926,2bb6000a-1c64-4bf0-9960-43fca5fc733d,1854ce84-50ff-456f-99c7-5feefd96cd94,b4ca0142-3b23-4fd8-8d20-f686854df9b6
edfe338b-f1f8-4c84-9f8f-4b8cc628c3b9,Laboratory Science,1cd1d2c1-8cea-4d94-9c55-9260c97178b8,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,cb93c6ef-d901-42c6-a2ab-718602b40d9a,b8c5ee78-d214-4218-9d3b-8d933b8ddd5b
792bcbda-ded8-42b2-9b4b-d0c1b1bdb076,Gynecologic,451b04c5-ef98-46f6-8dc6-076f49f9d49e,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,d9ba071f-9df1-4d04-8cc8-80679bac8e64,65739938-a96e-4bf4-9865-23b8f9154865
9a4f13fe-18ce-4f0e-aed8-9767ee7819fd,Anesthesia,1f6fedb0-fd7e-4765-ae14-f03294e33894,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,d770a3d2-a246-49cd-afbf-5bdbffc1e627,4bc01de3-d197-4561-b9b6-8b9523aa9e67
8d34f9a1-2ddd-4df8-96d6-3be81751ef5d,Podiatric,4a7ea04c-e515-4b3f-a2ff-50643f861ea0,8b6ebe16-4b6a-4838-becb-c99cccaa13ee,ef6890af-f1f2-4432-a9ca-02ddffe4310c,0044c690-f17a-4c84-8b3d-7ee7fa9f941a
