identifier,healthcareOrganizationName,address,contactPoint
3e70f16a-5548-4822-9e1b-372ad3fbf47a,Faulkner-Howard Gesundheitszentrum,d4713d60-c8a7-4639-ab11-67b367a9c378,23a7711a-8133-4876-b7eb-dcd9e87a1613
b306d1a8-e5ee-4c76-948b-2758d7ab7928,"West, Miller and Flores Tervisekeskus",247a8333-f7b0-47d2-8da8-056c3d15eef7,1beb3711-7d41-4602-aece-328bff7b118e
9b38fe80-3042-4325-a28f-5ab01fdb8b32,"Bryan, Barnes and Hill Gesundheitszentrum",adf20806-e521-4606-b717-6e84d977e993,b341facd-ff0a-40f1-a425-799aa905d750
c9e4dab2-0edc-4d2b-8470-f0e7f76fbfb8,Robbins Group Gesundheitszentrum,31d0b664-0589-4877-9b02-52440950fd13,efdd35f8-0fa3-4266-8cfd-ba9bba26d851
a32c9b6f-391c-4046-bd4a-5d5128fafd04,"Thompson, Ruiz and Ortiz Gesundheitszentrum",713b7e05-ebe2-4368-98c7-52051e01a934,4fbaecc0-eae2-425e-8233-9e23dff3334b
c1378be5-b7a2-4e0a-83a8-987936a98d74,"Fletcher, Martin and Brown Zorg",6b10e53a-9145-4e05-b3ab-1b2cdf26f517,e28bc9ff-870f-484c-b244-f536285e25b4
d974c146-e8ec-41b3-9145-91aef03d866a,Ramirez-Good Zorg,dfa7c6ed-32d1-481b-a636-425c9bbd750d,658de17e-ec3a-4314-9a9b-b01779c147c7
19724ce3-1bd0-4448-aa2b-32004c9a0ae1,Bennett LLC Tervisekeskus,2da44da1-89b5-4368-9f14-c6125f58d5b5,555a4085-4578-4ab3-a6a9-74652371ea2c
b3b68b57-da54-4267-9d13-8266d26d5396,Turner Ltd Tervisekeskus,6d316b4a-7f6b-4793-b318-ad4c1db2b452,2aa36cf7-eb70-4a65-a7d9-9a23e4f7625e
4b5ca436-953c-478e-a106-7a8cd7a3283c,Hanson Inc Tervisekeskus,0ac728b4-a418-45bf-b50d-278d41a8a6e1,8be04c3e-5c94-4381-a0c6-b3ed755a3ac1
4124405b-91fc-4e88-81c1-6e984d6cd782,Rivera-Martin Tervisekeskus,03e9ba02-4cea-4df0-8a66-dc4e21681081,f7f60e7f-75f2-4c20-a7f5-195cde62d43f
084fa819-052d-4ad3-a6c0-0984c734bb05,Brown-Davidson Zorg,cf5e9ea3-6258-4ab3-a877-7babc5c14262,d476fe38-babd-4745-897e-9f1a3d2bf042
e27ac8e9-d1c3-41bc-86be-643217ee0eb0,Logan-Waters Gesundheitszentrum,31e9ca80-58bf-4b9e-a624-5b598c94af98,b368c553-9c30-4eaa-8f66-b32de19b5837
064f768d-b080-4003-9e7f-503c4b1347f6,Walls Group Tervisekeskus,ec41e6f6-6c0b-455c-90e6-39e1e44fc3a9,27f9e728-c618-4c1e-aa48-05421965e435
6ab01563-8cff-4bb1-8ca4-9aaf6b944e09,Anderson-Levy Tervisekeskus,f58c43ce-b51d-40d8-982d-d9727a089ca8,4ae9ee11-f5fe-4213-b92e-cd7555c36c3d
7bb8c2f1-1624-4318-a326-52e8a1ab17c0,"Wood, Rush and Brown Gesundheitszentrum",71df24d9-3f80-431f-95a5-712c5ac4b6c7,ba6a098f-f642-48f3-aacf-49eb02284fd9
120961ea-0913-4087-95d3-8ca9986cc8d5,"Turner, Lynch and Coleman Zorg",1d4d1180-4c6e-4fbb-b7fe-f6b501fda698,7f67ee1a-ad9d-4f42-97b1-8e6e78aff58e
51783032-8066-449b-b1d7-92a07d25cefb,Jones LLC Gesundheitszentrum,eb83af16-e404-4808-bfc1-8c00dc0520a4,85e74250-92f0-48b8-a269-62278513d91e
a5e3a719-6bf5-4dfd-94a8-762b2b12c92c,"Lewis, Kelly and Myers Zorg",e32866d3-0d6a-48b0-beda-9ab9bec60ffe,11035083-fa99-4f9b-86de-3365d8a230de
aa66b464-8420-48d9-b261-d0d2a1c2d9bf,Bailey-Lucero Tervisekeskus,2fd3b9f2-e90f-49f8-b578-3f662114c2d6,bad3116b-63b8-4897-bdf0-fe6bce8d75f2
0b5aafef-85a1-482a-8761-585b4168705a,Williams-Williams Zorg,56525ce0-3725-4d0c-b9c4-5c38b440ffe0,01d34690-a795-4c54-8a30-f7cd00fdec23
3fee2fc7-2e2d-4fdf-b57b-8a920a12f3b3,Chambers-Fitzgerald Gesundheitszentrum,339d78f5-d658-41b3-b012-ae1c5882e3bb,41300879-6279-4944-9c28-97c684539813
3d798f0b-e6cd-4595-94f0-d65dbd6817b6,Bishop-Mccormick Gesundheitszentrum,8e9b185e-1b77-4deb-af51-ea78fea2a33a,8397d412-7118-4b71-8707-e77b4bf0ae53
9db3466d-1ba6-4c61-aaf9-4919e69b7971,Taylor Inc Zorg,9501e917-496d-427b-baf2-f402a0e624f1,95decd6e-5df2-4073-93f0-4099813dd49a
0ee5144d-8a1d-4b42-92d6-ff735b3a4595,"Martin, Koch and Lamb Tervisekeskus",8e36b82f-3856-4e31-b568-c9c6033c1469,b4480761-505e-4c9b-8bc8-8bcf7b1d4049
839137a6-a977-4b71-9e6d-2d7e9f312acb,Dougherty LLC Gesundheitszentrum,032f594d-0b82-461c-bdd0-c8660649def5,f8db1a4d-584d-4c02-8ff9-d318d22a3a62
f1c58f44-7e08-4c1b-8da6-a326451437d6,Newton Ltd Gesundheitszentrum,f4e1680b-05a0-4c72-b22a-4fc63f2de8a8,6d5b7d50-1417-44f9-b7c1-44fb2b16ad04
583678ee-f3ca-4f64-a7fa-8b8a909b471c,"Duncan, Baker and Mcdaniel Gesundheitszentrum",08f1100b-fa32-42c4-b80a-fabf8cea309b,675e0c52-1eb9-4739-b8ac-dd816522ff46
c74dd25c-6dbf-459c-837d-975248f3531c,Smith and Sons Gesundheitszentrum,6e566274-99c7-4bea-a756-264dc8649f78,57627626-2037-4089-b11f-a10a0b2975c6
dd1f8e30-731c-477a-b6bc-a2a2be792965,Kirk PLC Gesundheitszentrum,caa0a679-6e83-47b2-8857-d8c3b4a06976,ec77cfc8-b38e-4adb-a93f-a902c8dec9ab
30d6863f-11c2-42d8-8126-77895c6be596,Kim-Todd Gesundheitszentrum,4598244b-f0bd-4405-a50d-d400a27ee80d,4e98ce25-1733-4a7c-93e8-36639c14940d
53f3c158-42ce-41c0-8cd9-f2af339c5a75,Edwards and Sons Gesundheitszentrum,f45aa79b-d855-4b35-9763-b159ed9a189a,abbf66c7-680a-4e2a-866b-d06fa2b4d215
2ebed37d-05d1-46b6-acee-c38d511fcda9,Johnson PLC Tervisekeskus,8d7f7ba5-72e6-416e-a671-0ad2c1b5468a,e55e44b8-08a6-45b4-8321-0210a43c991d
59cd012a-06b4-4b6f-9f94-e3c818a77594,Buck-Burke Zorg,4fae667b-b2e7-4e77-8fe1-cedfa5387901,eb1c3ba4-5b9e-42d0-ab0c-9fddb61b03e9
ebbe1a41-c781-411f-acb3-8568291a58af,"Crawford, Miller and Williams Zorg",df254e5d-befa-4c47-8dd6-650fca6ef7ce,dbc33e56-c8a1-4945-8a6d-3e0666e51767
c9a6e611-613f-418d-896e-f1a5ac707464,Williams-Allen Gesundheitszentrum,adae7e45-a036-474b-a34d-7804f5657d00,3cf9d1fe-f75a-4e6f-ab86-3694541d1a81
52526d45-9c68-4df1-8a51-5e8746ba6855,Cox and Sons Gesundheitszentrum,ec2b5e21-3f7a-48e0-b611-8bd6553a773a,6862dc24-213a-4ad8-92b3-4a24667fceeb
0a9d499c-a269-4c2d-a14f-1ddc4bc972ce,Hamilton-Garcia Zorg,bb22fa31-6bc9-4970-848a-e37406dc1579,2b6b7b42-2950-4326-b644-d1839aabd22d
8e33dcab-be68-4e2b-bd63-7b3afc0b1519,Anderson-Rodriguez Tervisekeskus,354af1bd-ba56-42f7-a00a-a45e44e1b08c,93a25c9b-6e3a-42d7-87fe-6a4e2a6f1e47
8d37aebb-8fc7-47e3-a8b7-4f3dec3826bc,Hess-Vega Tervisekeskus,68fc642a-f6f2-4926-8e60-678b82f4b48a,9870c707-955f-4c33-8142-424925cc2478
3ad23fbf-2e57-4864-83eb-280e79017990,Franklin-Clark Tervisekeskus,8463416a-fe65-4bef-a0ef-c9892ab465e9,056b565f-439d-4d74-a7af-36d9af04ef81
ed3032ed-824c-4948-b474-b1a4f2684ee1,"Benton, Hawkins and Baker Tervisekeskus",64aba3f6-7a65-4abe-9188-afa1f660ffd5,241d3e27-4bf4-4e10-9c62-2f82d0813d92
1ee1723b-4a96-46a4-a752-41027acf6bcc,Valencia-Thomas Zorg,f6aca9b4-5e14-4c30-bd2c-db8d39ebfa32,c6b7e7cb-be0d-44ed-b306-1611ef96a214
53a9ec5d-b9b5-470e-b346-f7c6437249fd,Rodriguez Group Zorg,7fd2770a-568d-4f3e-b4b4-45aaedfda291,fae3fcee-7636-4fd9-8376-ffa876fe579f
95331356-074f-4be0-84f2-0133f45c8840,"Smith, Wilson and Jacobs Zorg",61f6c877-0212-485b-8b2f-8580f3f05323,bdb62ff3-14e1-4706-b309-a536e998952c
6a8d3e84-20fe-452b-96fe-23018c3af69e,King Inc Zorg,845c21e7-988d-4e4a-a266-a107a408001f,b13de531-062d-4f7a-85da-e1f31a7e256d
69560c06-3008-4519-ad83-095163eaa005,Johnson-Cummings Gesundheitszentrum,7b056d02-59de-4319-bf9b-bcfc742c5905,c3a31607-f565-4d00-a7a4-eb268d6e44f2
840658d1-c1da-4d39-b735-0626dca8b6fd,Barron-Fleming Tervisekeskus,f60ce881-c5ac-4520-8d46-68fef2b72bd2,2ee66e21-53fb-4ed1-b953-4807300961c3
8a74bec5-6951-443e-8a6c-b87cdfb87708,Watson LLC Zorg,31307e46-af79-4546-be51-68dc5690f74d,fd723837-705b-4cc2-a40c-a20c702a5b67
27a0008c-0b44-461f-96c7-354aef82c4d6,"Medina, Miller and Cordova Tervisekeskus",6151787e-4f02-4fe8-bd5d-9031e80bb7eb,6b5a174d-3436-4eaa-83ea-038fc095e099
feeac13d-5813-42c2-a33e-383454e27ea6,"Brennan, Wilson and Lawson Gesundheitszentrum",62b22fd5-51c6-42e4-af48-744f7abc9f0b,2449213a-c2fa-4184-a232-4672f64e8f4a
53fd2516-d1bf-4aba-a908-923b1551f819,Callahan PLC Gesundheitszentrum,854ca896-1aac-4ca1-920c-904e4063d525,d733f669-852d-4585-88df-6b197c3ad037
a94501d7-f9d0-4163-9ef1-274a13801f25,Jackson LLC Zorg,cda840fd-4adb-4798-839d-60ba9c993735,dd7516f5-58aa-4383-8dff-06d28340fed5
7ff5101d-3f1c-431b-86ff-76d11fe32b56,"Black, Green and Brown Tervisekeskus",e368f7d2-d973-4b86-bfb2-30b2b55dc442,39b66d71-951a-4518-87e7-7e2b6b291a13
3665b6a5-634d-4412-816a-5ea8618a4763,"Howard, Wright and Walker Zorg",daa6b26a-e30d-44fd-b58c-1e9f2a0b2040,8d3ac4b9-2fb0-4074-a532-3fd3c9f35bf8
25d203e3-992e-4dea-8374-32634a0609aa,Smith Ltd Zorg,02fbad7c-8866-4aba-9601-8cc6db160641,ac91c01e-734c-4192-a557-8e91bee5f64d
2adb6a67-83ad-4758-83e1-592e3765002d,Johnson Ltd Zorg,40e5e8fa-b033-4368-a443-a7378072b635,9bcae27d-3319-48eb-9afd-518dd55f0e0e
c8359b91-6e93-4faf-9502-e1d5167ad089,"Rose, Clarke and Lee Gesundheitszentrum",e807092d-74ca-4c56-8d39-03626ef4d6b4,04ade7b7-119b-4fb4-b0fd-e8c97575117c
28da2b89-c130-4a09-8ddd-03bb756aa13d,Harrell Group Gesundheitszentrum,bd05bc2c-5a50-4a98-85c5-5e39881d0ee1,2dc6c2ac-cbae-4e93-af39-c04551bb91c1
23f3e5ae-d1de-4fa8-a1c5-63425033b5a4,"Moore, Bradshaw and Miranda Gesundheitszentrum",6bd8e65f-72a2-461a-9ba6-6e98679140e0,c634effd-f02d-4043-901a-cef6a8294aab
0d326347-dcbc-486e-a2e8-6f7add6af484,Williams Group Zorg,e70a26e9-eb6b-46ec-aa3a-5bf369946c6d,4c15514d-b40e-4501-bb2c-2c428f6dc117
673ef518-c6cb-4179-a239-f30a70525bb6,Wall PLC Zorg,c5cf255f-278d-44f6-88df-480ea3b4e529,f4098aef-1d50-4ccf-bec0-9878f0344058
c81a58a6-6245-4749-b9a6-edc1099fb91b,Poole-Dixon Zorg,a4efedef-24cb-4b4e-b825-a7e1e80d2403,27e8aeae-24a7-43e3-920a-202fe11a15c3
49ac2f36-b202-454f-a2a1-0ce2d545de36,Wang-Sanchez Zorg,5e349e31-1c67-456d-b9ac-d84313b2cc15,f97b8d62-1c95-47d0-81ff-bbc184c85b95
3e5aed83-5272-4246-a57e-a412a2157489,"Thompson, Alexander and Lane Zorg",d36d8076-998b-4e1c-9f81-fca3ffb1c2c9,dd7524bc-dd82-416d-84fa-9dd191609261
ef6ed981-be23-4d25-ac78-8719d9371f2a,English Group Tervisekeskus,98b0b4d7-b5e1-4e19-b464-2bad89599298,99aed9de-2e78-43c5-b11b-b2df346eba31
3a72a669-e03c-4361-a14e-10ee230c2ebd,"Kim, Kelley and Perry Tervisekeskus",b85f2ec4-9d6f-41b5-8420-e63bc34dfc64,f230400a-386b-41c0-9ffe-6c117b51aca6
a3289b58-a62f-45c2-b0cc-8eec3b3fd363,"Russell, Farley and Gonzalez Tervisekeskus",22e7ee59-1414-4ca8-b455-f1f64574a37e,a892d63b-89ae-4616-99f8-8a690466ed6b
8428d344-7194-4be4-9de0-103a4e2e2c6e,Robinson-Tran Tervisekeskus,96b09e29-89e4-49df-9a45-a71745ac1564,f444adae-1d21-4e7c-a025-2b8d2cd9f51a
c9d4e1bb-c4d3-4ec2-baf3-d90e586a7302,"Nunez, Curry and Jackson Tervisekeskus",1f217475-66f0-4769-8909-c1ba18fa5472,9937f592-185a-4b98-bd9f-3e803ba68577
857d114b-4b91-4be8-bea4-ca6a33423b60,Thomas Group Gesundheitszentrum,d35f581e-3648-431f-ae9e-8d0384983111,d5ff7894-46ac-4201-9ab1-874e17668e8a
aeff988b-b5ec-4796-9c5f-3db707b52a8b,"Stanley, Rose and Greer Gesundheitszentrum",49ace049-13bd-41ae-b0dd-4704248988cf,260aeef2-95dd-44bd-a7c4-bf8d59949066
0a9ffe96-fdf0-4605-ab7b-2370940ca324,Martin-Garrett Zorg,cb020672-8fff-4a1a-b3e5-2b1541c14dc0,ba4e199c-f2b8-4d15-94c7-cd9ad28d65a1
4306dd16-a5b4-46b4-8d03-7e583ca58162,Terrell Ltd Zorg,63f6ed2d-6865-4c4d-a322-e658410223b4,97b19d4f-16d2-4a67-86b1-b41f3659333f
314a332e-eb9f-488e-b877-5b599f3da6ae,Welch LLC Tervisekeskus,72824622-a4b0-473b-b74e-21a162e5b726,77dc6602-6c82-41f1-859f-7dfc9f3bca77
565e5ae7-ad82-4067-ab35-94148ed2b26b,Thompson-Monroe Tervisekeskus,78edd1c6-e981-44a4-b894-cf22c2dc9456,5d587077-68fe-4666-afb5-545cd95cd1ae
19b6b91b-1f69-4a01-b5f5-b0d2042e4fec,Keith-Duncan Gesundheitszentrum,3e2598d6-32ca-4ebe-98cd-5da373cc3524,73213530-f002-4e2e-abd4-3ea08bbd6b2f
e45e95b9-69f8-4b8b-bdd5-d97e086d996c,"Wheeler, Castro and Richardson Gesundheitszentrum",768ec101-3ac2-496e-a243-6476b9298df6,96c9b54e-0224-4f10-8e65-b211a3c9c8d7
6f5714d7-a0be-4a1c-802b-2f928dc57bd9,Keller Ltd Tervisekeskus,7d87d793-1170-4ee3-b43b-4fb0912d791d,8dcfb198-f0e5-4f30-abfa-4f2cb1886048
3a94f14b-0830-4ee6-9a9c-1d73f173d2fe,Klein-Dickson Gesundheitszentrum,eafe0d1f-6e79-4d5f-9314-70c8acb14314,b8c6773e-9610-4047-b849-07a1d5810613
0a5a61a0-6c87-4cd1-916b-47e2e0460545,Rubio-Johnson Zorg,70bef8fb-6598-42bf-8a18-bafe2df4a748,1b4addce-e56b-4b1d-a54e-4a172868c76b
3f84747c-8d94-4a55-a11a-4073bafcd1c4,"Williams, Golden and Parrish Gesundheitszentrum",0878f6db-004c-4af0-8ed9-1a324f0fa9db,23a61526-95e3-4329-94cc-a279a63cca75
0a73a9a9-df49-4c15-a38b-c512d13d78bc,"Armstrong, Long and Parker Zorg",8fcb2362-52fb-4fd4-aa37-651587543d51,9ade0a94-2709-483a-976f-9018b18646ce
d296e670-f35f-4a3e-ad38-505b5e8a511b,Chen LLC Tervisekeskus,7eb78350-cb11-4ef8-806d-d8c51856d169,abbf9e6d-9e19-4188-9da1-1d7aa281becd
