identifier,healthcareOrganizationName,address,contact
81332876-37eb-4cd9-a87a-1613e443df78,jFaulkner-Howard Tervisekeskus,c8a70639-eb11-47b3-a7a9-c3787c65c1e5,Contact: (642)319-4892
0ff18e02-42af-4fc3-8577-6e9add84f39e,"Durham,m Levy and Woods Tervisekeskus",9c6316b9-50f2-4455-af25-e2a25a921187,Contact: +1-701-360-9753
1beb3711-7d41-4602-aece-328bff7b118e,Kaiser PL CGesundheitszentrum,1759edc3-72ae-4244-8b01-63c1cd9d2b7d,Contact: 384-818-5839x8947
ec62b2c8-2648-4e38-a074-05eb215663ab,"Green, Jones and Shelto Zorg",9cdeb3e6-0870-415c-afcd-81b5d24bace4,Contact: 8186684833
b490b608-1dfc-4352-8562-be7fbb42e0b2,BruCe-Sanchez Tervisekeskus,a1515607-964a-470c-bc87-9b741d878f9f,Contact: 252.356.0123
b7d6467b-2f5a-422a-b87f-43fdf6062541,Jacobs and Sons GesundheitszEntrum,1db53334-fb03-43a1-9576-d4155ec17dbe,Contact: 673-300-8691
429817c5-3308-4b2e-a42a-ad48fcfcfa81,Carlson Ltd Zonrg,7795e986-80ee-426e-8fa0-7a3f2e295065,Contact: (979)423-0225x841
55fea08e-143e-4e04-bdd7-d19b753c7c99,Castro Inc Tedrvisekeskus,403d1f83-a859-490c-9670-f668637e0edc,Contact: 001-408-642-3759x4599
ac7c8803-e01b-4f50-b5d9-7ef760ef1471,lWalker Group Zorg,28fafd04-559b-4975-b2d6-50af313b32b7,Contact: 001-360-669-6027
cf1da110-0cc3-4d8c-b786-3fe5d675ebf7,Sipson LLC Gesundheitszentrum,e245a460-0004-484c-8167-733f9a9e4310,Contact: (338)512-0665x03008
cad6e514-ccc1-4d51-b3f6-60d8e9f41cc0,Burton-Johnson Gesundheitszexntrum,ec3aa314-da9b-4017-b9c1-47c719a5711b,Contact: 242-285-1240
b65d1226-7e96-4cf3-a7c5-cb879b8b71a1,Mqathis Ltd Zorg,d974c146-e8ec-41b3-9145-91aef03d866a,Contact: +1-676-758-2369x4022
8c69778f-fd42-4697-a511-16565c646036,holden LLC Tervisekeskus,29f2c3c7-4505-44f6-8a8c-46c709215f4f,Contact: (341)673-0428
7aa56a18-1fd3-4017-97f9-8d1ecff4c56b,Rogerds-Yates Tervisekeskus,7b2e1b82-e89d-4815-8f92-8dc519724ce3,Contact: 876-304-5229
6c4c3935-379d-4da1-ade6-c5e9b6e355f6,"Roberts, Mora and Kramer Gesundheitsznetrum",8e751eb7-64d0-4913-991b-8adf0202861c,Contact: 353-349-2635
9f982188-3744-4a64-8c24-9558f2ad985f,Cloark-Williams Gesundheitszentrum,65e04993-7f41-4fed-9e70-e79933a1d1c2,Contact: (913)476-5821
b4a1ca79-5718-4da2-827c-013f38018399,"Santiago, Harris and Lynch Trvisekeskus",7fa74d8a-ff88-4c82-bf99-d273d5627386,Contact: 001-355-308-2492x6947
75f2bc20-a7f5-495c-9e62-d43f261908b9,Rivera-Martin Zrg,d80d6a1c-c247-4fd6-83e9-ba024cea2df0,Contact: (586)688-0918x916
81c16e98-4d6c-4782-ae95-83eabda17da2,Sandoval Inc Terviekeskus,cc4da021-dd62-4222-99ef-e28b3bcb50b3,Contact: 001-845-217-4466
ac6d5df8-14e5-464c-b799-ae8e9a1a7d6f,Thomas-Wu Gesundheitszenvtrum,7b38785b-0932-45b6-b11d-dff70e370526,Contact: 001-425-260-9767x017
e19b5837-1c6a-4b5e-bd85-9725c707aef9,Lee-Logan zorg,a6245b59-8c94-4f98-b338-6c3e1af4787f,Contact: 8976951942
ef2d9a38-e6e4-48df-8b6d-9611f4dd05d5,Kelly-Chen TervisekesKus,30c32323-c1b1-49c4-9f1f-f97c71cff814,Contact: 3748089933
bbf9bb01-27f9-4728-8618-fc1e6a480542,Perry Inc Gesundheitszenrum,ef8d9ff0-1583-4fee-ac41-e6f66c0be55c,Contact: 7763607541
a8b56f85-346d-4b7e-80d3-d1af353e0c86,JonesB-arry Gesundheitszentrum,3b019fcb-f96d-4403-948c-93f3028d042b,Contact: +1-610-445-0932x27175
4ec985ff-94b2-4b9d-8881-9f421a42b629,"Fields, White and Kaisser Zorg",f5492e22-e0df-4f74-afe7-8b604bdd5f99,Contact: (462)623-5833
246cb09c-ed28-408d-bdaa-3bfa6ab01563,Fisherr PLC Tervisekeskus,12bdf75f-b3c1-41c3-93f2-a37c64d02759,Contact: 001-264-851-3758
