identifier,serviceDepartmentName,address,isPartOf,contact
7bd37c4b-948c-42c8-a0f2-4eb3af58e381,Pathology,7b2e1b82-e89d-4815-8f92-8dc519724ce3,81332876-37eb-4cd9-a87a-1613e443df78,Contact: 707.899.2975
dd7524bc-dd82-416d-84fa-9dd191609261,Midwifery,14ed05bd-e4d0-4ebe-9335-914ce62ce6a3,81332876-37eb-4cd9-a87a-1613e443df78,Contact: +1-728-966-3564x3343
9fbd4b9f-5675-4682-996d-66423cf87ff0,Dentistry,1af55c26-8808-4ebc-b5d4-cd35a08c3a00,81332876-37eb-4cd9-a87a-1613e443df78,Contact: +1-525-432-4828x9177
3fc34af1-9af0-4b9a-9ba1-cdb699aed9de,Respiratory Therapy,11fba56e-300a-4187-9cb9-f9aabf4ddeaa,81332876-37eb-4cd9-a87a-1613e443df78,Contact: 001-718-273-4648x356
326ea68d-f4e3-4152-b12c-d4340b177efd,Infectious,bac114b5-ca19-45a8-8d5a-2ad386d77094,0ff18e02-42af-4fc3-8577-6e9add84f39e,Contact: +1-228-371-4847x656
fbb22429-55ab-42c5-8f08-502ee47e3d10,Rheumatologic,c2185e77-dc58-4a6a-a193-db51f6aca9b4,0ff18e02-42af-4fc3-8577-6e9add84f39e,Contact: (749)587-4867
b9e789c6-16f4-4941-ad28-3c0df230400a,Cardiovascular,a867a0f0-a8e6-4772-b9cd-e60cab1e6794,0ff18e02-42af-4fc3-8577-6e9add84f39e,Contact: 518-209-8591
d2d6840d-1871-4121-89e8-060c0a8f541d,Pediatric,a53011a2-3d74-49ee-a514-1471ea951570,1beb3711-7d41-4602-aece-328bff7b118e,Contact: 001-441-596-2998x3442
3a72a669-e03c-4361-a14e-10ee230c2ebd,Musculoskeletal,ef8d9ff0-1583-4fee-ac41-e6f66c0be55c,1beb3711-7d41-4602-aece-328bff7b118e,Contact: 274-729-4312x623
ad982a08-7ad0-4668-a892-d63b89aeb616,Speech Pathology,ac33f644-4053-4188-b39d-78f5d658b1b3,1beb3711-7d41-4602-aece-328bff7b118e,Contact: (541)294-9302
7c26c722-253d-49ce-a08d-549b6b0efd01,Musculoskeletal,caa0a679-6e83-47b2-8857-d8c3b4a06976,1beb3711-7d41-4602-aece-328bff7b118e,Contact: +1-508-653-2757
19b2b595-3051-4f6a-b51e-3a7bacdf3038,Hematologic,28cdc38a-85b3-43d3-b56b-6c0dcff0c8ac,1beb3711-7d41-4602-aece-328bff7b118e,Contact: (474)858-9434x861
e891f80c-970a-46dc-b444-adae1d21ae7c,Public Health,cc4da021-dd62-4222-99ef-e28b3bcb50b3,ec62b2c8-2648-4e38-a074-05eb215663ab,Contact: +1-918-727-2648x3214
582592e1-0d1f-40ad-830a-2393604c83ca,Pathology,a867a0f0-a8e6-4772-b9cd-e60cab1e6794,ec62b2c8-2648-4e38-a074-05eb215663ab,Contact: (868)528-9204x9789
fd642ae2-6434-4207-b415-14cc77fd7fd1,Otolaryngologic,c2185e77-dc58-4a6a-a193-db51f6aca9b4,ec62b2c8-2648-4e38-a074-05eb215663ab,Contact: 518-561-8720
60c36cdd-9937-4592-985a-eb983d9f3e80,Optometric,e5039055-f90b-4724-b883-a8ea44e8a604,ec62b2c8-2648-4e38-a074-05eb215663ab,Contact: (518)838-3371x31829
a41a5d31-dd5e-42d1-a518-020a99cb37c7,Laboratory Science,e10b4aad-a92d-4b05-a9bc-cee9a71b80ef,ec62b2c8-2648-4e38-a074-05eb215663ab,Contact: 579-205-5303x738
78ca810e-7428-4356-bc91-e45824b27e83,Cardiovascular,c20166e3-ca68-4a98-b48e-f9a86aeb5a32,b490b608-1dfc-4352-8562-be7fbb42e0b2,Contact: 394-946-5419
a7713b3c-9f11-4a42-9cd3-a7955edd9aae,Radiography,c2185e77-dc58-4a6a-a193-db51f6aca9b4,b490b608-1dfc-4352-8562-be7fbb42e0b2,Contact: 732-463-0742
51f83e44-524b-4a5b-8204-2c0b1da221b8,Neurologic,7680891b-6bb6-404e-a0db-22d329e316ad,b490b608-1dfc-4352-8562-be7fbb42e0b2,Contact: +1-615-433-4866x60271
9a347cda-d481-4f7f-b022-b8f186d6c424,Urologic,cc4da021-dd62-4222-99ef-e28b3bcb50b3,b7d6467b-2f5a-422a-b87f-43fdf6062541,Contact: 852.492.9643x1227
c0038e5a-4c83-49bc-89ce-f0ead6cadf41,Endocrine,d2fb05ca-3a72-4b9f-96fb-5c72ed6a1bfc,b7d6467b-2f5a-422a-b87f-43fdf6062541,Contact: 991.651.1738x0091
b3e52b15-41c1-4dc0-95f9-d782bcb43dc9,Obstetric,bac114b5-ca19-45a8-8d5a-2ad386d77094,b7d6467b-2f5a-422a-b87f-43fdf6062541,Contact: +1-562-231-9827
99dfd2f5-b4fb-4350-a4bf-279239fa33cd,Genetic,70df67b9-3a6f-46fa-a418-13ef799fde33,429817c5-3308-4b2e-a42a-ad48fcfcfa81,Contact: +1-622-899-2114x14979
1322439a-b54f-4f70-8a9f-fe96fdf0d605,Respiratory Therapy,65e04993-7f41-4fed-9e70-e79933a1d1c2,429817c5-3308-4b2e-a42a-ad48fcfcfa81,Contact: (670)555-4660
97b19d4f-16d2-4a67-86b1-b41f3659333f,Cardiovascular,b2f11ef9-d486-4482-8078-cb124b7350d1,429817c5-3308-4b2e-a42a-ad48fcfcfa81,Contact: 001-423-783-7504x6988
8884b81d-a7e1-4728-91c9-992fb73a0683,Obstetric,882ab925-80b2-4b0c-aa24-65cf16c2b4aa,429817c5-3308-4b2e-a42a-ad48fcfcfa81,Contact: (234)817-4344x1527
0d4ddaab-7282-4622-a4b0-c73bf74e21a1,Public Health,7fa74d8a-ff88-4c82-bf99-d273d5627386,55fea08e-143e-4e04-bdd7-d19b753c7c99,Contact: +1-348-896-7998x3204
7c1ba84f-32a5-4e37-81d1-240bb53c9022,Speech Pathology,c2185e77-dc58-4a6a-a193-db51f6aca9b4,55fea08e-143e-4e04-bdd7-d19b753c7c99,Contact: 348.262.9742x0354
9f3da6ae-5295-4caf-8f65-1f216fa2be13,Obstetric,f325f875-e417-4ba3-a4ee-c62b51306e5c,55fea08e-143e-4e04-bdd7-d19b753c7c99,Contact: 001-835-862-1357x7256
fc8847d2-1b06-4b10-9586-20855d587077,Radiography,c9a6e611-613f-418d-896e-f1a5ac707464,55fea08e-143e-4e04-bdd7-d19b753c7c99,Contact: 587-821-0867
6bfed001-18bc-4a21-b887-d3e9a3171056,Surgical,9cdeb3e6-0870-415c-afcd-81b5d24bace4,55fea08e-143e-4e04-bdd7-d19b753c7c99,Contact: 7492244818
17d9fa66-0063-45c9-a4fa-9196f8015987,Dentistry,14ed05bd-e4d0-4ebe-9335-914ce62ce6a3,ac7c8803-e01b-4f50-b5d9-7ef760ef1471,Contact: 357-233-5974x82760
352d6f27-b987-43be-9462-a18d1b6d6ce9,Urologic,ec3aa314-da9b-4017-b9c1-47c719a5711b,ac7c8803-e01b-4f50-b5d9-7ef760ef1471,Contact: 481-984-1189x4031
4201545f-771a-4a12-aa6c-56cb2a630fd1,Pediatric,483c1a4e-a91d-42cd-8bf0-6f64b4178592,ac7c8803-e01b-4f50-b5d9-7ef760ef1471,Contact: 001-827-590-8601x141
3ac2496e-6243-4476-b929-8df641a97327,Speech Pathology,043d2c47-3b56-435e-85c5-96d442d01ba3,ac7c8803-e01b-4f50-b5d9-7ef760ef1471,Contact: 698.785.2609x693
