original_id,duplicate_id,entity_type,variation_type,field_name
8923cba1-7874-466b-bc34-e6ebaeaaec48,8923cba1-7874-466b-bc34-e6ebaeaaec48_var1,Address,missing_field,postalCode
51783032-8066-449b-b1d7-92a07d25cefb,51783032-8066-449b-b1d7-92a07d25cefb_var1,Address,missing_field,postalCode
ce03a34d-a022-4fee-843f-b606e8b7e2da,ce03a34d-a022-4fee-843f-b606e8b7e2da_var1,Address,missing_field,postalCode
e5039055-f90b-4724-b883-a8ea44e8a604,e5039055-f90b-4724-b883-a8ea44e8a604_var1,Address,missing_field,postalCode
69fcbef0-275f-475c-83f3-f74dd3861b58,69fcbef0-275f-475c-83f3-f74dd3861b58_var1,Address,missing_field,postalCode
b8f35c26-d13e-439c-9cb6-f1f0e4751694,b8f35c26-d13e-439c-9cb6-f1f0e4751694_var1,Address,missing_field,postalCode
2728ec95-2b52-4ab1-a367-ad9e8dcd7d64,2728ec95-2b52-4ab1-a367-ad9e8dcd7d64_var1,Address,missing_field,postalCode
ec3aa314-da9b-4017-b9c1-47c719a5711b,ec3aa314-da9b-4017-b9c1-47c719a5711b_var1,Address,missing_field,postalCode
2e0885fc-5da2-4c06-b146-b0800a2cf6a9,2e0885fc-5da2-4c06-b146-b0800a2cf6a9_var1,Address,missing_field,postalCode
7b38785b-0932-45b6-b11d-dff70e370526,7b38785b-0932-45b6-b11d-dff70e370526_var1,Address,missing_field,postalCode
3b019fcb-f96d-4403-948c-93f3028d042b,3b019fcb-f96d-4403-948c-93f3028d042b_var1,Address,missing_field,postalCode
d2fb05ca-3a72-4b9f-96fb-5c72ed6a1bfc,d2fb05ca-3a72-4b9f-96fb-5c72ed6a1bfc_var1,Address,missing_field,postalCode
106861d3-633d-4c54-b304-59cc30c42d61,106861d3-633d-4c54-b304-59cc30c42d61_var1,Address,missing_field,postalCode
403d1f83-a859-490c-9670-f668637e0edc,403d1f83-a859-490c-9670-f668637e0edc_var1,Address,missing_field,postalCode
b5c03f6f-94e4-4c44-a3fb-dbda86ae9d5c,b5c03f6f-94e4-4c44-a3fb-dbda86ae9d5c_var1,Address,missing_field,postalCode
65e04993-7f41-4fed-9e70-e79933a1d1c2,65e04993-7f41-4fed-9e70-e79933a1d1c2_var1,Address,missing_field,postalCode
abe0a177-1c5e-4698-b7a0-2afd30d6863f,abe0a177-1c5e-4698-b7a0-2afd30d6863f_var1,Address,missing_field,postalCode
a0a1f43f-9638-43c7-a85e-406b817131eb,a0a1f43f-9638-43c7-a85e-406b817131eb_var1,Address,missing_field,postalCode
b2f11ef9-d486-4482-8078-cb124b7350d1,b2f11ef9-d486-4482-8078-cb124b7350d1_var1,Address,missing_field,postalCode
f325f875-e417-4ba3-a4ee-c62b51306e5c,f325f875-e417-4ba3-a4ee-c62b51306e5c_var1,Address,missing_field,postalCode
dce83f15-92fb-4636-8c0f-e4e7d03a354e,dce83f15-92fb-4636-8c0f-e4e7d03a354e_var1,Person,name_swap,personName
