identifier,serviceDepartmentName,address,isPartOf,contactPoint
1f217475-66f0-4769-8909-c1ba18fa5472,Midwifery,ea4f44cf-eafd-480b-9ec8-633fb73888a4,a59cec98-126c-4c8f-b888-447911ebcd49,42f81126-6c2c-40a7-a4e9-031675f80092
c9d4e1bb-c4d3-4ec2-baf3-d90e586a7302,Respiratory Therapy,60c36cdd-9937-4592-985a-eb983d9f3e80,a59cec98-126c-4c8f-b888-447911ebcd49,d41cc2bc-e335-4f8b-91d5-6acf680fe5e2
aef82d2e-51f8-4e44-924b-ba5b82042c0b,Obstetric,d35f581e-3648-431f-ae9e-8d0384983111,a59cec98-126c-4c8f-b888-447911ebcd49,74286356-3c91-4458-a4b2-7e8301cbd9c2
09cef0ea-d6ca-4f41-adf1-fe3fefd9373e,Neurologic,b9c4abb6-a6a9-4aab-ac81-1d57b2835bff,a59cec98-126c-4c8f-b888-447911ebcd49,091523be-650f-4375-a0fc-01e2bcd635cc
93c3150d-77c3-404f-9f7a-46b8450000a1,Surgical,853a9135-3ee2-451b-be88-c93319db1d7b,a59cec98-126c-4c8f-b888-447911ebcd49,b5eca796-dc5f-4db7-87b5-2a8b0af01e69
3ca58162-4509-47a7-a2bc-5350a627e31d,Obstetric,faa83536-d3d7-49d5-a430-1b871322439a,a59cec98-126c-4c8f-b888-447911ebcd49,5536212a-58d7-46da-8f01-3f4e73961f8e
56c16359-352f-4341-83fa-a677b1a8e5c6,Renal,a4b0c73b-f74e-41a1-a2e5-b72606b9370b,a59cec98-126c-4c8f-b888-447911ebcd49,c6d82ceb-a1ac-4d49-8d4d-daab72824622
6bfed001-18bc-4a21-b887-d3e9a3171056,Radiography,eb9fc88e-b877-4b59-9f3d-a6ae5295dcaf,8b5885ca-0bb2-43f0-bd30-291a55fea08e,c784499d-6909-4290-9496-a305314a332e
c736e166-8042-402f-9d73-22518b763f63,Diet Nutrition,ad82e067-ab35-4414-8ed2-b26b1fda2e53,8b5885ca-0bb2-43f0-bd30-291a55fea08e,24fa9196-f801-4987-8008-cccf565e5ae7
02246f10-ce65-4211-a3c9-c8d76ceb1865,Optometric,1c7bc6c8-d62f-4e8c-abca-09663eef04eb,8b5885ca-0bb2-43f0-bd30-291a55fea08e,2a630fd1-71cf-439d-aa1f-ff41af1b7013
778d028c-e45e-45b9-a9f8-2b8b7dd5d97e,Plastic Surgery,da595d3e-a0fe-4e1b-b910-18255057df41,8b5885ca-0bb2-43f0-bd30-291a55fea08e,e16e3336-77b1-4e21-bccc-c53ac36a4162
6689ef79-f8c3-4461-bc15-b016487eb3df,Pediatric,21ab9e3d-fdf4-4f09-bd87-d79311705ee3,8b5885ca-0bb2-43f0-bd30-291a55fea08e,84ddf869-b816-4f1a-9677-013ba8e19b83
3a94f14b-0830-4ee6-9a9c-1d73f173d2fe,Optometric,eafe0d1f-6e79-4d5f-9314-70c8acb14314,8b5885ca-0bb2-43f0-bd30-291a55fea08e,eb5d11e8-b6d2-4ba9-a517-3d1cf7fc0bd9
ab46afee-8898-4682-a096-8f2106e090ea,Podiatric,1ae3237f-aa88-4965-9654-7b4d317588ff,27d99a23-e4f7-425e-afe6-790abc18a40b,7df8b7f0-44a1-44d0-96df-fc21b1c2ed56
edabf3d2-53e4-4dd3-ae51-bca044c0a5ed,Speech Pathology,15f82b2f-bc89-4faf-8cf4-627782dcf736,27d99a23-e4f7-425e-afe6-790abc18a40b,80082244-1ac5-443b-b7dd-3c21e618d25d
955e988d-f24b-4d76-a07f-949ef11e71ae,Anesthesia,100cfe80-2132-4c24-81b3-77bd59eae69a,27d99a23-e4f7-425e-afe6-790abc18a40b,66ab247a-75fe-400c-8407-32b4ef1772f4
9b3e6605-5083-4669-836c-d6021a54acb2,Musculoskeletal,e31b328e-3a32-4205-9e26-b29d8615ad73,27d99a23-e4f7-425e-afe6-790abc18a40b,a7486875-29bd-4604-bed2-7848c6950d85
57e061c6-0494-405d-b194-a9f14114fa10,Infectious,b2b5591a-9d7f-442b-85e2-b0787a3e9905,27d99a23-e4f7-425e-afe6-790abc18a40b,49556582-7e54-4d03-aef4-2592ec1c6fe4
15362c1f-90b3-49d9-bf0a-837a3e0f7488,Neurologic,f2aaaaf0-e8eb-4ae2-9bc1-c77afa29fad9,27d99a23-e4f7-425e-afe6-790abc18a40b,047595fb-338b-4372-a00c-ea03b7d52dce
5041b3d0-8950-4262-a797-765abc854e3f,Radiography,054efa50-4962-473b-a0f9-986ab2363b7e,27d99a23-e4f7-425e-afe6-790abc18a40b,a1fa46f3-4668-4cdd-b5f9-8f4110a15299
754151b0-0cdf-420e-81e7-5ade858e8dfb,Rheumatologic,3b6b8130-f687-4f7a-b683-4a01bdb5ff1d,27d99a23-e4f7-425e-afe6-790abc18a40b,0aa1ee6f-1b04-4aa4-a3f3-3d5519248947
3b4590c6-7380-427c-af25-a8cdde699e1e,Pathology,44cfc3ca-c3fa-4764-9fd8-a0ca3b036dfd,52ebdac5-a145-4899-a1f8-c1569e0df45b,5aa970d9-801a-4ff7-a6cd-d662c4e813db
4a082de7-4f6d-4f01-b0dc-2737db807618,Renal,2542cff6-0710-41c5-802e-3a7aa1515f1e,52ebdac5-a145-4899-a1f8-c1569e0df45b,cec1871a-b5c8-4060-89c7-35079d592a7b
0d0fbbe9-6b7d-4713-8ba1-527dad7114db,Gastroenterologic,335be677-df1b-425e-af66-be879a4c2227,52ebdac5-a145-4899-a1f8-c1569e0df45b,d24f6919-7d1d-439e-b453-6a9b7ecbcd45
9641af55-358d-4639-90bf-babda5d649dc,Speech Pathology,970ea1aa-c76f-48ae-adf3-d0246f88c633,52ebdac5-a145-4899-a1f8-c1569e0df45b,7e39fd94-f850-4bec-a7f5-794c007ea2cb
f0c53802-4474-4ac6-9df7-327635ba9da1,Pediatric,df66946a-0116-4168-bac8-a7602d5df04a,52ebdac5-a145-4899-a1f8-c1569e0df45b,c47090c6-bad8-4464-959b-0d078f022246
19b5024c-eee2-4362-8ccb-cb6e42e14ce9,Primary Care,700e6a4f-2543-43f8-b349-f09340601a0d,06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,28986430-fabd-4787-bd5a-95ecc315c8b0
d1da4bba-1ed9-4ae6-a5f4-4940f5114a9a,Gynecologic,a7fd116e-d8f5-417f-85bd-ca63a100ba8f,06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,88bf1035-d8cf-4d5c-b35c-f88bfae203e1
bdfdb88e-ae4f-40d7-bad0-e4d2f9dbd648,Optometric,929c8ac4-bf28-40fb-a8cb-2f6eee5e256e,06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,50bbd1c7-f01c-4cc7-bb87-c961fa17e092
8034f222-b4a4-45c3-b4dc-5b1949523e70,Endocrine,eae9c546-446c-4893-89d3-cdb9ebb9aa72,06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,689f2d23-100a-4f24-8dd1-5beb5d98abc9
483b7b7f-e2b1-46c9-8f2f-bda2b50ad6d5,Speech Pathology,f67d2311-33a8-49fd-9091-6a5f97ad1730,06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,e9e1a3d1-1a12-4068-815c-77ed779571dd
76c6bf55-a9b9-42bc-a350-0fcaad785312,Neurologic,317f1e9b-2ee6-416d-b51e-7fc8d6ab5c68,06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,da47b8f9-cee4-4404-9648-1f4b0c747a90
01df3805-5f18-4cea-9b28-9a8432a88b74,Optometric,b41fdcad-e36a-4265-ae51-686507afe1c5,06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,5351c342-5b7c-48ed-b239-6f882516de06
91340a41-9333-4293-ba04-a0d5d997e4bf,Pulmonary,69259d81-2a2e-4ea7-9834-aeaf0f332bab,06d2ed7c-e6ac-4d8a-8160-ff927c7550f2,6efeb18f-aaa6-4ef9-bbb6-ba4c140ab78e
a97e76ef-ebef-4ae1-89c3-a12df0bed3ed,Musculoskeletal,5f7e3898-2ddb-4eff-9da7-2833e1bfbdfa,c058a332-b4cf-4fa8-ac98-f73d27fe1b4b,4f5ab827-3b33-445b-952b-c38cce0790d7
6e323ff4-c345-495e-b8fa-29e6831520ca,Respiratory Therapy,9883502e-7f32-4e78-a7fe-651efd8c2a6f,c058a332-b4cf-4fa8-ac98-f73d27fe1b4b,8dfc0cb0-dc97-4aec-8fac-816ce2d371cc
5516c1a6-45d3-4a2c-8826-8550d171a798,Psychiatric,b31190b6-21e4-4b25-adb2-bb78765d13de,c058a332-b4cf-4fa8-ac98-f73d27fe1b4b,68aeb048-72ec-4932-a075-44b56eb7b98b
690aae3f-ade5-4235-84d4-09975748c032,Respiratory Therapy,c04bd397-54a9-4898-bcb7-b35d68298389,c058a332-b4cf-4fa8-ac98-f73d27fe1b4b,d7c5a147-ebd2-452e-b18f-3aee34a25626
4d543a0e-b3e5-47e4-a261-a3d28bdbf1f8,Plastic Surgery,25b09e48-1ca1-4fa7-83b8-bbaa7e24238e,c058a332-b4cf-4fa8-ac98-f73d27fe1b4b,46c91999-4187-4dc0-aa20-ccea22e87c8d
5447353b-c9dc-4fb4-b567-7aaf4f462933,Toxicologic,45baf444-bb7e-41bf-9b2f-fda39f013834,c058a332-b4cf-4fa8-ac98-f73d27fe1b4b,c40421fb-18fb-4f2c-9602-a43750ea62aa
0f32e315-7a2b-45d6-926d-076cd58cf189,Respiratory Therapy,b098a39f-12e9-43c1-a33a-812367ac9755,c058a332-b4cf-4fa8-ac98-f73d27fe1b4b,9e3589b2-eb14-4394-bd70-57fbc7caa96b
54496139-add6-4d20-93f3-f048d814a978,Anesthesia,fbfa7549-13ee-4ee8-950e-18400e60f583,c058a332-b4cf-4fa8-ac98-f73d27fe1b4b,91db735e-dc21-43e8-902e-4f400a013a86
e675e7e7-f848-419a-91fa-1e143cde8704,Rheumatologic,db03dadf-a10f-4588-b1e1-9146f654f453,c058a332-b4cf-4fa8-ac98-f73d27fe1b4b,e1f51fdc-c203-453a-8b78-44b004747134
56123a73-379e-44d2-a764-10c23f6b772a,Diet Nutrition,055c64dd-e478-40a6-9368-e0d60b46b634,c058a332-b4cf-4fa8-ac98-f73d27fe1b4b,b11826f6-66c3-400c-9cae-80b846695f55
94307158-03cd-4178-b578-b202a834a79f,Plastic Surgery,c78ad66d-4a9b-4c00-992e-dd37379c05da,71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,77059fa8-56be-4bee-a67c-4de762f8d20a
1d60ee66-1540-42f1-8f22-070ded39abe0,Urologic,b366dcbc-abbf-4882-affa-0875e4a7c828,71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,c46e1738-790b-4990-a428-da2ed8900991
4c8909e3-1d54-4d05-b0de-ca69debcb6d2,Genetic,d693bf11-7721-4931-9734-2123e3ed9637,71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,8a8ed273-ece1-4e8b-85cc-70a1a49266c9
6c77700a-55d6-4f9b-85b0-3a351c16dc39,Pulmonary,35152cba-ec4f-46ab-aa07-cfddee9cee1f,71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,8e95ef6a-b675-4f65-b8e1-c5e6648b1a36
ec319b23-c7ff-4268-b14b-bea9404f72f3,Renal,d2865c01-77f7-4d19-8ee5-ddf0d996f125,71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,6db16e7a-23e0-484e-bc30-9d334ea8c3b1
5b30f894-8122-408e-b24f-550f4e7aef59,Cardiovascular,93a7468c-10c1-4f57-bed6-8dc13265b5b3,71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,fef5a551-87a9-4185-9166-465bb0464634
a9c0fdec-6c25-4ad6-9dcc-668fa4007b48,Emergency,94e5efab-8e36-47af-b1c2-d7b2ed384c44,71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,6278f95a-7438-4b47-aa83-c504ebbc854b
f117f274-1840-4ff8-966d-a609aa80ddfc,Pharmacy Specialty,f01688e4-b43b-4ab8-802b-7d666abb6f15,71a8c9c6-0f6a-475b-b55b-2e5ca6ed0ac0,15f66e23-75e6-43b6-b952-7fba397ce787
b9be64e1-b08d-4f95-8d8f-1e8bcac8d101,Public Health,358d3e42-ed1e-454f-9fb7-86f4f61ed233,9db3466d-1ba6-4c61-aaf9-4919e69b7971,11d0fd54-750e-41b1-997e-b2fc26fc574c
fc1f14ac-a6bb-429a-8a6e-e1d2b7815143,Midwifery,62fe8d68-95f4-4a1f-a1d2-92ab36f4851f,9db3466d-1ba6-4c61-aaf9-4919e69b7971,16b9315a-eea6-4d23-aaf3-913e301c8730
1745c170-d7bc-4fdf-8948-aff1182e1a8e,Infectious,98e63241-243f-4229-ace4-8fdc68d60b08,9db3466d-1ba6-4c61-aaf9-4919e69b7971,3d550d82-be18-4b30-93b7-9970dd8159b8
7d79ab44-c633-4f19-9958-07d2be77e40e,Cardiovascular,bc67b332-a89d-4114-9841-c24912882f60,9db3466d-1ba6-4c61-aaf9-4919e69b7971,cb628a19-a79e-431f-86ad-ad4a37c6c427
711f02ac-e905-4731-bd38-7e53f882006a,Pediatric,6a2ca004-0465-46d5-a086-f2af3059c498,9db3466d-1ba6-4c61-aaf9-4919e69b7971,a76f80a9-1db9-4322-ad85-ceb25291b049
