identifier,serviceDepartmentName,address,isPartOf,contactPoint
4f980ab5-c106-4fa4-a579-68d416ec15a0,Midwifery & Birth Center,397ac6a6-8e7f-447b-a301-f0454c546ace,d3352057-bbda-4b05-8c76-622b89973416,176d6400-32cf-42c6-9453-d884adaf608f
91666755-e5dc-4932-8072-b96293272c15,Podiatric,12d0d5f1-9a07-45e9-a70c-018bfcf5b5a9,d3352057-bbda-4b05-8c76-622b89973416,b389e494-415f-438a-a39b-2176aaca10a6
61b89a98-b3da-4e1f-8d36-16e9906a99c7,Toxicologic,322f061b-5bcb-4e2a-83ad-6c5f9fd4644d,d3352057-bbda-4b05-8c76-622b89973416,c1f574d1-9c1f-48d1-8c0a-cebb7e7ea5da
952798d3-b1c0-4d32-ba83-04570a5d9da1,Primary Care,aaa4fdae-0272-4a52-9786-97cf73d072ea,d3352057-bbda-4b05-8c76-622b89973416,aa4b6244-3d52-4bfc-9ad2-ddfb0c55af8a
2c4fa7ef-4d92-49bc-970c-9b91a510de86,Rheum,24e187fb-6b2b-4249-b491-56b5889773f4,d3352057-bbda-4b05-8c76-622b89973416,1959da92-36b8-4666-8c72-5a5dbd291fd7
1f5a67f3-eeac-4e9c-a9e1-d9b8d875c461,Speech Pathology,5fdd05ea-6fbd-491c-b904-d8b5c81fc863,d3352057-bbda-4b05-8c76-622b89973416,add1ad30-89c3-4172-9b26-d70d0d93b972
b28b497d-4867-4736-836a-1e0b0d7816f7,Laboratory Science,e561224a-3ef6-42c2-9507-5c2a853bde88,655cabcd-64d6-4c82-88c6-737e0efe3a5a,11ef71d3-c465-4e98-a64d-bb5c6bc8117f
5d88ac36-22bb-4dab-92d0-db7f771efca8,Gynecologic,10bd14ba-a956-4b22-994b-8910a896b347,655cabcd-64d6-4c82-88c6-737e0efe3a5a,f5a7b09e-2d53-41d4-8bfc-94529c2f9027
3ee23412-cf8c-4dcc-a71f-d4a58d516494,Anesthesia,f31c8949-0113-4e10-b671-bacd70602c72,655cabcd-64d6-4c82-88c6-737e0efe3a5a,da7974a2-53b8-48e6-8791-cd6f3901e4fb
d749605a-2d08-4272-9e4e-ed280606573d,Podiatric,b515a52e-f69b-4088-9539-76aaa090dc78,655cabcd-64d6-4c82-88c6-737e0efe3a5a,3bd5ac4c-bfaa-4387-b2fc-9e7cf80cff32
436946cf-d584-4083-ac21-78a011c47769,Otolaryngologic,3b783be9-592e-461e-98a4-7304ea9209e4,655cabcd-64d6-4c82-88c6-737e0efe3a5a,6999ddde-a2fb-4dce-a7ec-3e0d51ba602d
8f59d6fd-9567-42b8-8233-55be1d4bf966,Diet Nutrition,6d097a24-0cb2-42f7-96e2-39e77417acc6,810792dd-3b06-4dd6-baf2-7f5e5f24b901,17b12cd0-f350-4ebd-a713-aca6223eaa67
278c3a2c-35f7-4841-90d6-0e5655632208,Rheumatologic,58a5a72b-fc5b-4d2e-b405-ca564105f928,810792dd-3b06-4dd6-baf2-7f5e5f24b901,e0a0f1f3-6ed3-40a0-b0ce-bcf8a53c624b
2ac57e97-147c-4663-9163-3eb262622538,Genetic,e58c15a0-6350-466f-ab5a-c856d3015f17,810792dd-3b06-4dd6-baf2-7f5e5f24b901,4b26ea14-3151-40b7-a43a-17796e71676c
ef6f00a9-ccce-41ca-9995-0d664f340dac,Pulmonary,cc9624b9-aaa6-4d17-a0c6-712e0235a56a,810792dd-3b06-4dd6-baf2-7f5e5f24b901,9d5c1341-4796-480a-888e-42c13fd0ae41
7c897108-5db4-4c52-b7bd-7ae46c5a36bb,Rahvatervis,41fc6e16-abef-4f3b-a947-fe0be8c07d7d,810792dd-3b06-4dd6-baf2-7f5e5f24b901,d4befd74-1f58-4f7d-bfb0-9d2a178866d2
f533464e-d7cb-420c-99c2-8abf5b70cf37,Comm Health,ad6591ed-0994-4c80-9461-d3e32ffe5650,810792dd-3b06-4dd6-baf2-7f5e5f24b901,42404595-8234-4ade-a340-a6ffc953b873
c148991f-cd04-471b-a26a-aa1f80ab2163,Anesthesia,27faa3fc-7560-4190-8108-46d16c8b4085,810792dd-3b06-4dd6-baf2-7f5e5f24b901,24412703-439a-49ea-af9b-63e0b682e54b
cc4943fb-e066-45c0-ba29-643bb4ca3ce4,Public Health,ff277058-ae72-46dd-9ba3-830f1efd0419,810792dd-3b06-4dd6-baf2-7f5e5f24b901,84676797-cb26-4f72-86be-1b0286527165
2240adfe-489f-49ab-960d-bf0878a43397,Respiratory Therapy,386c24bc-6525-4d64-85d5-e0eba134bf67,810792dd-3b06-4dd6-baf2-7f5e5f24b901,41fc0a57-a09b-4c20-81d8-21f895a4ebec
e66d5f3f-22b7-41b1-9ad3-298cd73cce2c,Urologic,a5e1e647-7a61-4e84-bfad-536025b845a2,810792dd-3b06-4dd6-baf2-7f5e5f24b901,84bb4e75-bc8e-44d2-8311-aa03fd814ca3
150e8648-ec86-4165-b72f-95e8b23c85d4,Midwifery,ab48ba62-6b5a-4fca-be15-9143b9ea7fd4,07a12d79-2cb6-48dd-ac5b-a6dbacff7951,09eabe7e-af60-468b-93e6-449a916916cc
16a7dc31-91c1-4a49-9d10-1165504bf5d3,Respiratory Therapy,a7435705-4479-4fb1-aa20-9fcdade020e9,07a12d79-2cb6-48dd-ac5b-a6dbacff7951,75cc3e4d-76e9-45db-a34f-ab369bd95b17
b44f8aec-7443-4c1d-903b-5b477d36b5ab,Obstetric,0ea6c76a-a599-4f1d-95f2-c52e7326ccc6,07a12d79-2cb6-48dd-ac5b-a6dbacff7951,a75b877e-cf4d-40e1-ad93-446acd57fe65
389b148f-c969-4c95-a810-426157a2de53,Neurologic,86a7d516-34da-4d9f-864f-cec2e7950b70,07a12d79-2cb6-48dd-ac5b-a6dbacff7951,a29d47bf-720b-4d3c-ba27-ad9a9c978f20
