identifier,serviceDepartmentName,address,isPartOf,contactPoint,country
7567d4b4-e6a1-4dc1-abb1-5fd1801a3d36,Geburtshilfe,585de319-b16e-4ff3-9341-743c240f4f1f,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,1c188d18-c18c-443c-b530-bdc307ed830f,Austria
23c628c9-c52a-4aa3-94fe-74fe22f5e7ba,Respiratory Therapy,8fdfdc06-c58a-423e-873e-53f9a5430e9b,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,cdc3491f-896b-481d-be52-20f006f346da,Austria
6704a949-f1dc-471a-878a-5efd298067cc,Maternity Care,20422917-a16b-4b65-b7e8-6b8691f72585,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,44103fea-72b3-4cd8-9c60-507cc569d048,Austria
96c8d2ac-de42-4042-bfcb-3b9539211ee1,Brain & Spine Center,0658e919-edb5-43c6-b3e1-fd7cb9d65bd3,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,9cd0e030-091e-4a0e-9655-e11f3eee49f6,Austria
95f5daec-6a35-4839-9e3b-8766e560d9e9,Surgical Services,fdce7129-5e40-43ea-96e2-a428d9964a8c,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,840883da-e8a6-4fc1-b778-3ff9e0f7146c,Austria
ba3d03b6-2a3c-471a-84ae-f7fdb5cc097f,OB,08aeffd2-e7f4-415e-9bbb-294bf83fd529,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,1170b52a-6a7e-410e-b905-7faed5308daf,Austria
c567bf9f-35cf-4bb0-951c-6f33c7185c74,Nieren,394d583d-eaec-487f-98b8-d9c8de52548b,1c42b13b-60c1-4233-a7cd-4bb31ea6889d,4889d74f-808e-4740-90b1-2f6491ffa80f,Austria
fc6ce50c-1132-4273-b0ac-d88f28ec15f6,Medical Imaging,57c5a063-667a-49a3-b13d-dac96fdaacf9,fc6c6519-2c48-45be-91f8-38bdfd3562d2,6ceb7123-335a-435c-89cd-1573be6d9be2,Estonia
848dc6ff-7223-4db0-b8db-c3466814ece2,Dieedi toitumine,4e8f1f2f-2dda-49ab-8334-ee02549937e1,fc6c6519-2c48-45be-91f8-38bdfd3562d2,2f1dc3cc-0a41-4d8d-bde2-9635e7a91517,Estonia
49ffc096-4a80-4f98-8e65-f1ac30c6855d,Optometric,201efe5a-968b-4093-97b1-745088f89613,fc6c6519-2c48-45be-91f8-38bdfd3562d2,a05c15e4-58e7-47b5-b17b-43518dfd65d1,Estonia
3e7b9523-ccde-4326-ba40-3d02201298c1,Plastic Surgery,3e063cad-3ae3-4e1b-b603-788e2ab826e4,fc6c6519-2c48-45be-91f8-38bdfd3562d2,35adb7b2-2359-436f-a163-f6e01bfc17dc,Estonia
e149046d-10f9-45cb-8ca0-d3f022ddf1df,Peds,c450f713-d9ad-47b1-878a-fa568c178e41,fc6c6519-2c48-45be-91f8-38bdfd3562d2,e44a04bf-f718-42d5-a57d-44f4ca4439d6,Estonia
c373759e-5b5e-4933-94d5-37d1c6f7704c,Optomeetriline,2aa31a70-e17c-4390-8a00-af4dd0e24036,fc6c6519-2c48-45be-91f8-38bdfd3562d2,f7effe1a-ea64-49e9-b621-e1ce7b4f7439,Estonia
75f7f87b-ed9d-4d43-8aa4-54bd56c9a9af,Foot Care,bd4cf3d7-3c27-4645-99bd-a9a62e2d500a,2376d176-ae52-41df-b5a3-cb264ce2d5f0,d4d01e7b-949f-4c83-8743-0b40cf685305,Netherlands
