identifier,healthcareOrganizationName,address,contactPoint,changed
696f4257-1c66-48bf-8abd-92829c689a7f,Faulkner-Howard Zorg,3640c91e-849f-44fb-afe9-fc49cb0c506c,f3b0fd8b-6ea3-4267-866f-f5b103c1cde7,
b6401ffe-b8c9-4b7d-b8b8-397ee22be68a,GSC Tervisekeskus,7f3dcbcd-844a-4fd8-9e83-84ff972d6c30,0a969959-6ee2-445b-a577-91226c03c280,True
092ea03e-0ec1-47a0-978e-2cfa66b2f3d1,"Gsreen, Jones and Shelton Tervisekeskus",cda5da71-9698-48de-9e67-572791001f76,7b35801d-5f1d-4881-814f-7b2826cb7f66,True
5a5c9b06-e32b-446f-bdfe-ea889d7ea705,"Nash, Anderson and Collins Zorg",4e2ea4b7-c7ea-4383-85ee-81e7ae337ee1,ec295d94-7280-4949-96cb-88722b9b6839,True
c324a380-8539-4354-91bb-a1f185c26815,LK Gesundheitszentrum,d410d8a6-0433-45b8-9d11-f5b4001454e7,3077b79f-2fed-443d-bfff-e9b1fb0aa9c2,True
caff5af9-7626-41e6-92e6-b6702a3058b1,WS Gesundheitszentrum,ce889d34-48fa-4652-b1bd-f9b309d1135b,35107c0d-3286-48fd-b189-7de67cd0b662,True
a992a9ef-7e9c-4181-9c73-c7977b191b6b,Brady Inc Tervisekeskus,24c30f52-8481-4dac-8bb0-2b6b334a6a19,20ae9100-9e10-4cd0-9ad3-631fb6bb17a0,
5f74dd17-97af-4b79-abc0-47afc02a1b32,GPLC Gesundheitszentrum,01504319-4051-4a2b-b99f-ed1fddee4f4e,8f521948-9ece-4bbc-b578-8ea75a21fe0c,True
7a9064b5-5c7a-4d9b-9c25-0dd91b0c4c7e,SS Zorg,4d7cee6d-2113-45ea-a603-39322993d856,4ef80402-43e5-4441-ad84-12323e4e2200,True
4557ea27-82a8-490b-be3a-6c4948fe569f,"Cahan, Hale and Fisher Zorg",4ae71aab-b539-4359-b868-e61dcba917b5,af984c46-1b21-4507-ac1e-3f23f8f21d41,True
430a4e6a-de7a-4836-819e-ac4957ae34c8,SL Gesundheitszentrum,9e21f5a6-b48d-45da-b8b5-28c025f0e1ca,3c9eaf67-5aae-4420-ba57-75aa00dd713b,True
579c032c-3241-417e-b820-2bc4e4ac937d,Carter Groop Tervisekeskus,10f2a2ca-ce5f-4d0f-92ac-62a7a2300392,185b6504-3ef6-41e9-8ece-a9b9680ca490,True
028dae09-7c29-49ac-bcd9-95ad9d76d09a,"Rigbs, Martinez and Stephenson Zorg",9c8de53a-5ccc-411f-b0de-9995b3bf3e21,92695059-97c9-4d08-b570-3d590bdc6bec,True
330f82e2-01b2-4aa4-b07b-579cdcc1820c,Mathsi Inc Tervisekeskus,05a3d883-1cee-4216-86b1-8c4d77d717a2,e6575795-af14-43b5-a8f8-590ee88a28cd,True
1741d071-600e-48e6-9080-0e1aa6728c35,Price-Robinson Zorg,4e747555-7c48-4286-b4bf-0e3f13821c9d,dc4574eb-2a47-4992-ae4d-51e1801e490e,
8dea7f1a-48d8-493e-9a3e-2ff000e1e596,Williiams-Williams Zorg,1afa2c84-9734-43d0-91b1-9037508d294c,260870bc-5b84-444f-ba60-13b1761d019d,True
d3d6e5ec-c6cc-4975-83d5-ab2439efd2c0,DTB Tervisekeskus,c33dc8fb-7526-4748-b91c-bc1b38d4a409,8b225526-5aa3-4dfd-a933-0af723b8f989,True
8f86bddb-f827-44b0-a1ef-502067aad070,"Lam, Bishop and Mccormick Zorg",bc4500df-8523-4e86-b421-82bad6da888f,4d9ef176-c2df-404d-89a4-6ae41ddda768,
1aa2305f-3955-4982-abba-baecc8db79b6,Smtih Ltd Gesundheitszentrum,2e138187-5556-403e-b5a3-0999e598e68d,69b45cff-b58c-4e7a-903b-e7cf5a995fc0,True
6859761b-d413-4025-a1ec-0e8f4a593a97,NL Gesundheitszentrum,67755649-5174-402e-911e-8a17bc4ec57a,23b71f04-a1be-4e4b-b1bd-33f1616b05b6,True
1d24e36d-825c-44d4-8ec4-6e4430b37cb4,"Arnold, Villa and Johnson Tervisekeskus",027ac2ba-204d-4101-b33d-0da1beaf26c5,c82033ce-8ab1-473a-9208-169f045d9547,
c80f0395-0543-4e5e-8497-f55e5c0bbdc7,LP Gesundheitszentrum,3ed1798c-1c2d-4c7b-a186-bda0c48823fe,9a029f3b-ad58-4b3e-9ea7-2058059f7308,True
