identifier,serviceDepartmentName,address,isPartOf,contactPoint,anchor
292b2634-2a86-4f46-96a2-630e18b01fc8,Midwifery & Birth Center,eed44fcc-e9ed-449a-99c3-4b7a4660ea86,6369cde2-30ae-4c9e-9921-52e3b87af741,d90e4eab-7b18-44f7-949b-23f9d4b5e7cd,833cf90f-f555-4628-9d15-3fb4968051b7
fb6c105b-edbc-48df-b979-c1e34f00aacf,Podiatric,68529fa3-aa18-41d6-b381-63efacc6824e,6369cde2-30ae-4c9e-9921-52e3b87af741,07e3d905-af3c-4a0f-ba2c-8dc1ba802b33,f64e8f4a-ef89-42e7-aa17-06669b6e83a9
943cc8e3-24cf-4a33-85e7-57ceacec0190,Poison Control Center,4addf158-e4d7-4435-a94d-a47d0ad751d0,6369cde2-30ae-4c9e-9921-52e3b87af741,41f0ffcc-0d77-49d7-a1ce-bf3feb79738d,ca687a98-f48e-49a8-aaeb-5a328fad725d
1d7a1620-1701-4889-ad02-c7f7728a494b,Family Medicine,4640cf32-2476-487b-8c92-1762f4e6c7d6,6369cde2-30ae-4c9e-9921-52e3b87af741,e88ee6fc-2e79-4e13-9f6b-326401b341bc,8fa41d22-46dd-40ac-a0e3-0a4dfbcefcd0
fb84a467-1329-42be-9ac7-432290e3b2a1,Rheumatologic,2109dfc9-da9f-49fa-af55-8e26aa8831f9,6369cde2-30ae-4c9e-9921-52e3b87af741,a7ffccaf-b1d4-42ba-91e3-df0a58454c1d,080638c9-4967-49fb-b2e0-2961ac73189c
fb5395fe-d930-47ec-b005-39f8174c6e04,Speech Path,0c2a77d9-3603-4e16-a85f-0f7ad8feeec0,6369cde2-30ae-4c9e-9921-52e3b87af741,6be10c32-b637-42b5-ad5f-34a4bf526073,b4ca0142-3b23-4fd8-8d20-f686854df9b6
c00a009e-ed22-4e88-bcf0-acb8495e256a,Lab,7568b54f-07d2-4f49-8c00-b98a2ab27586,fd52c443-c270-4a5f-9b35-fb9033a15591,5e78059e-4924-4073-9731-ab2614e13a4f,b8c5ee78-d214-4218-9d3b-8d933b8ddd5b
e9c6e339-bc66-4686-80a8-4e5b5ed60af0,Women's Health Center,cb057d64-87db-4c2f-ae59-f46429a63a23,fd52c443-c270-4a5f-9b35-fb9033a15591,ec712fac-3e3a-450b-8ba7-bd3459927b42,65739938-a96e-4bf4-9865-23b8f9154865
9ddb7dc0-9bac-4a9e-8cf4-242ec3955378,Anesthesia,c45b6414-a00a-4d71-8a7f-4aa6425d7ab1,fd52c443-c270-4a5f-9b35-fb9033a15591,e65929aa-12d1-4631-8a4d-904bf1c9158a,4bc01de3-d197-4561-b9b6-8b9523aa9e67
3890ebe5-c504-470f-9746-08c4e957887f,Foot & Ankle Center,62dd4b4b-3c4a-46ee-a8e3-114bb2e1ab35,fd52c443-c270-4a5f-9b35-fb9033a15591,f6d9313b-1e42-43c2-8957-730e1ce4baa0,0044c690-f17a-4c84-8b3d-7ee7fa9f941a
cb9b239b-7817-4a6f-9ed6-5c5cfeeebfbc,"Ear, Nose & Throat",663ef704-8714-4e95-b7fd-fce4dd9f9a98,fd52c443-c270-4a5f-9b35-fb9033a15591,6dfff508-2c8f-4515-abfe-130aebb154eb,2dc6c2ac-cbae-4e93-af39-c04551bb91c1
721b40a7-b369-49e7-b7fe-38218c380ca7,Nutritional Services,31584a64-c00b-4e20-8e10-8a3330bc88bd,84e353eb-8257-4ab7-a6a9-e0ee5344ba0d,42b1807b-781f-4719-89e2-da26463d0986,9b83a437-28b7-405b-abc2-ded76bd8e65f
