identifier,serviceDepartmentName,address,isPartOf,contactPoint,anchor
6c9c702c-3aea-4d0e-8bac-fe0c4b64d809,Midwifery,cdd07f1d-4a13-412a-aa8a-27f7a314f182,b8df1f65-ecdf-46e4-8445-2b983ea502b4,81bb0eea-9d1c-496a-aaec-641a45398939,833cf90f-f555-4628-9d15-3fb4968051b7
fc0ba89a-bd09-4d43-98cd-77ceef0aefcc,Podiatric,0e9ae091-e69b-48d9-bb7c-c5972abafc77,b8df1f65-ecdf-46e4-8445-2b983ea502b4,1ba3e46f-ac5e-408a-8b76-400bca328dc8,f64e8f4a-ef89-42e7-aa17-06669b6e83a9
2a072f8f-9c9f-4e3e-8d7c-ea01b2630b14,Toxicologic,d7fd53ea-64b4-449e-bbfc-97d45dd07d21,b8df1f65-ecdf-46e4-8445-2b983ea502b4,35092337-4fb2-4dd8-9243-48f8d520c80e,ca687a98-f48e-49a8-aaeb-5a328fad725d
cb5cc2a4-cd59-4f75-96e2-77b150374f1a,Primary Care,95fefea8-4d3a-4d7f-9271-75e677dbcd51,b8df1f65-ecdf-46e4-8445-2b983ea502b4,39782593-c2d6-47ef-8552-d0d1b6a1d70b,8fa41d22-46dd-40ac-a0e3-0a4dfbcefcd0
555ce7ae-497d-456f-a06b-e8ef3792572e,Rheumatologic,4db34161-dbaa-4de8-950c-cafa62f6850d,b8df1f65-ecdf-46e4-8445-2b983ea502b4,79c73d37-cf6e-4668-8489-bb38817afcce,080638c9-4967-49fb-b2e0-2961ac73189c
4f4698fb-180e-464b-9b4e-785514f8f0b8,Speech Pathology,a79ba414-9a71-4157-8bdd-73e0d70a84af,b8df1f65-ecdf-46e4-8445-2b983ea502b4,b53eebc2-e03e-4f6e-8646-dc66252fa4b6,b4ca0142-3b23-4fd8-8d20-f686854df9b6
0761e64b-8ff5-4936-bdf6-f1bb25615d63,Laboratory Science,839358a0-d990-4594-85f0-6d3bc32b04d5,3b372444-f99d-466e-93dc-30851c7b12d6,e64979f4-8d04-4479-b95c-fdafd1410a9a,b8c5ee78-d214-4218-9d3b-8d933b8ddd5b
b9e3841f-3c69-41a4-84c6-ac8ff259f4c0,Gynecologic,0368b353-0017-4176-a110-10e889fcadbe,3b372444-f99d-466e-93dc-30851c7b12d6,59f5fcdb-37b7-42f5-8b04-9cbbfe49588e,65739938-a96e-4bf4-9865-23b8f9154865
05070e1f-de0f-4bf1-ad5d-2c0de29174a4,Anesthesia,a17dd4d7-0c56-432a-8c90-08be82778f3c,3b372444-f99d-466e-93dc-30851c7b12d6,d654d67c-d639-435c-ab27-01171bc7205a,4bc01de3-d197-4561-b9b6-8b9523aa9e67
68be660c-4158-45da-96be-5740d8f68404,Podiatric,7f888d4c-31bd-425f-a7ec-146f145c7a48,3b372444-f99d-466e-93dc-30851c7b12d6,283d458e-754f-4152-8db8-eb216f8e62f6,0044c690-f17a-4c84-8b3d-7ee7fa9f941a
82d52fcf-0c6b-4539-9a66-eb1decf7c038,Otolaryngologic,3c880919-02a7-4888-806d-84700c5f803d,3b372444-f99d-466e-93dc-30851c7b12d6,a4b7ab2f-443f-4056-8fa7-6e1017a76633,2dc6c2ac-cbae-4e93-af39-c04551bb91c1
446b637b-5e57-4c3f-8253-a3d0a8819bf8,Diet Nutrition,225aef70-8ef6-4f38-9d96-c75da2c15b7f,37a083ea-29a6-47ee-839c-be026de4a0d2,232b6ff8-e581-42a1-8314-30e80eb00a0f,9b83a437-28b7-405b-abc2-ded76bd8e65f
b7d5d4fb-c8d4-48d1-91d4-a1c830e5f5e8,Rheumatologic,cf8a41a2-d8e9-489a-b55e-db83f58a4e2b,37a083ea-29a6-47ee-839c-be026de4a0d2,5dc74909-49a6-460f-964d-efdddb9a9798,eb6b96ec-ea3a-4bf3-a994-6c6d3590a2e5
723bd46b-9fb1-4307-b6f0-9a7164ab1ae1,Genetic,789071c8-f40c-47e8-bd7e-4c6f53f55cb6,37a083ea-29a6-47ee-839c-be026de4a0d2,b27772e4-59eb-4930-a50c-a6e1b2a6ec0c,c5cf255f-278d-44f6-88df-480ea3b4e529
d09a1fb9-2175-4606-8492-c22eecdcfb16,Pulmonary,df10717b-0891-49b1-8e4a-c2d479ed67a6,37a083ea-29a6-47ee-839c-be026de4a0d2,afb043b7-ee6e-49da-b9e1-ced11f747ed9,6250e9f9-08d1-4e63-a7e8-aeae24a703e3
8d3d9b67-ac2a-44a2-a9cb-40de0a5f1b32,Public Health,6c78c142-5460-4896-a246-4544ca63e7b6,37a083ea-29a6-47ee-839c-be026de4a0d2,31cc744e-fbed-48be-8e99-1d812d723cdc,f146b080-0a2c-46a9-9bd3-839291e54b3a
f1d02396-f29d-42ad-967c-463d3a09630e,Community Health,cd460f8c-8cd7-4720-9b19-69f8fd329f3e,37a083ea-29a6-47ee-839c-be026de4a0d2,5332fd87-c535-4a80-b00a-3ea1d701a0f7,4b9368d9-6188-4ea0-9e5e-cd0a3cbafcaa
019516e7-66d8-42fe-af63-ebb965923298,Anesthesia,296c25a9-a752-4ebf-8431-a4b172456b15,37a083ea-29a6-47ee-839c-be026de4a0d2,70ceea7c-5ffe-4725-befa-5053a67b07ee,bb1a48e2-50b9-4e51-a81e-5658d813a70f
c78cbc51-da81-4792-8ba4-7b820a6d2981,Public Health,a7797896-cf95-465d-be9a-33774a8f98c0,37a083ea-29a6-47ee-839c-be026de4a0d2,68fea9f6-70df-423b-bf64-2bc3994115ce,18711121-c9e8-460c-8a8f-541d052ba051
d3b3c3f1-2f89-4b4d-8f5d-7e353a57b3f1,Respiratory Therapy,ec2a5981-c6c9-4521-9e21-9b0d6fd9fab0,37a083ea-29a6-47ee-839c-be026de4a0d2,e6b21c8e-3029-4a27-90c6-ec23ba51f88a,d0ab9ea4-c15f-47ca-a04e-6817ad982a08
8fad23b8-21e6-41fc-aab5-11cb6be3e5ca,Urologic,b10b440e-fb43-4306-8a9e-b7d3e696cef8,37a083ea-29a6-47ee-839c-be026de4a0d2,0f19dcbc-2ff0-4dd0-bcd5-0a963fa7ea32,10c313bd-6478-4399-8d68-2a6149262a13
0a5b5776-6d34-476b-a7e0-9f892d2b8670,Midwifery,e931e03d-e6f8-47c3-978b-e9428cd355b9,66261c8d-4b65-4666-a289-c208d15f7834,90c4c049-8793-40ff-8cba-044f53083383,ed6fe79b-8c56-4b92-8f32-2470a2334974
5dee6aab-589a-4116-9ecd-e0f248328ab9,Gastroenterologic,66441406-828a-4a51-ba98-25223e3ef441,66261c8d-4b65-4666-a289-c208d15f7834,dfaa7163-4dd7-47d4-8077-327717367ce3,7cbb1bcc-ef38-4237-99a0-f532d2197d93
1ba7090f-71f4-4403-a940-47d6fd5c4e5f,Pharmacy Specialty,892dbdd1-37e2-414b-a755-8f9dec134f5b,66261c8d-4b65-4666-a289-c208d15f7834,75284152-be39-4e8f-80e7-671b7dff375c,2709483a-176f-4018-b186-46ce90e49461
9ca7ab15-c0e0-40a4-a18c-2df5d973f638,Gynecologic,3d6811f5-0b20-4641-9ca3-362482a86fa1,66261c8d-4b65-4666-a289-c208d15f7834,81bb6f2f-a9cf-4a7a-a8da-f509013b04d3,1da11d7a-a281-4ecd-b084-486f52268c27
