identifier,healthcareOrganizationName,address,contactPoint
71545a13-7a1d-4006-8d72-3104f77383c1,Faulkner-Howard Zorg,c8a70639-eb11-47b3-a7a9-c3787c65c1e5,23a7711a-8133-4876-b7eb-dcd9e87a1613
3405095c-8a50-46c1-ac18-8efbd080e66e,"Smith, Snyder and Dillon Zorg",ab0c1681-c8f8-43d0-9329-0a4cb5d32b16,ded733e8-b421-4aeb-9340-97cabaf3897a
552116dd-2ba4-4180-8b69-ca385f3f5638,Johnson Ltd Gesundheitszentrum,307bf326-2f12-4554-8a53-08cc3dfabc08,adc0da7a-16fe-4aa0-91af-923d79fdef7c
4d125e7f-a59c-4c98-926c-bc8f38884479,"Guzman, Jones and Martinez Zorg",a25b59fd-92e8-4269-912e-cbc40b9475b1,1ea45cd6-9371-471f-9480-865f9b38fe80
8b5885ca-0bb2-43f0-bd30-291a55fea08e,Gonzalez-Howard Tervisekeskus,b306d700-19d5-4970-98b3-3c6e0a14b90a,eb21a3f6-e6fd-48e8-969c-91c278601602
d675ebf7-4fe3-4c9a-9371-0f577e9cf84f,"Nash, Anderson and Collins Tervisekeskus",971c702d-5bf4-4c04-ac64-2b4c49b25ded,14aa451c-a69c-4b85-9432-f8db6a174c1c
cad6e514-ccc1-4d51-b3f6-60d8e9f41cc0,Monroe and Sons Zorg,fa83ada4-a212-4ac5-b689-a4a5ffda0336,6ae04d52-adb3-48cb-b315-8c0c66dd7794
fb5eb866-2640-411e-a9f2-c3c74505f4f6,Williams and Sons Gesundheitszentrum,4745dd9e-2789-4389-9f32-77fd1d77ce40,f24dfdd8-5091-4bdc-8ef0-66d44279b14d
4a31b243-84dd-4da6-8e75-1eb764d09913,Parker PLC Tervisekeskus,ef0a81ed-3d5d-40bc-bb03-78eb7a62722e,d5e73e3f-6736-47d9-8d7b-d307122411e6
e0ae1a1b-6c59-4216-ae0f-dbc8a36bcb01,"Waters, Reynolds and Howard Gesundheitszentrum",42cb6d1d-ffc5-43d5-bd0b-a70e385af463,b3b68b57-da54-4267-9d13-8266d26d5396
d80d6a1c-c247-4fd6-83e9-ba024cea2df0,Daniels and Sons Zorg,ab899605-a293-4b3b-bfa7-4d8aff88ec82,bf3df0bb-f66a-4168-b4a1-ca795718ada2
209818d1-ef7e-45ec-a417-956f29ee7f3d,"Shaw, Berry and Gregory Gesundheitszentrum",61d9fe39-8147-48f4-9f0e-f320f7f60e7f,fd938adc-99a2-4cb1-8202-387b849b8a44
feef71cb-c915-4113-9c45-488d84dda9b9,"Love, Nunez and Hernandez Tervisekeskus",7de8a234-2412-479d-aaf9-44e07b38785b,775e0ec3-9c9d-43f3-8901-8aee69407be7
f655860b-dd32-4231-ab56-16997f22cd12,"Jones, Williams and Villa Gesundheitszentrum",5b471c43-7499-428c-b0c3-2323c1b199c4,f1dd50bf-06d2-4d7c-a6ac-9d8a4160ff92
55c36c3d-5cbb-4080-b547-5c5ef76dce6e,Bailey-Smith Zorg,078548d7-b118-4d23-9bf8-06761f12a0e9,98ba0f0e-120d-4126-9da5-3b38d1aa6c5e
5ac4b6c7-a310-44dd-8c4b-91fe6c148fc6,"Parker, Bennett and Thomas Zorg",88819f42-1a42-4629-94af-e646fe3216bd,82221345-50de-4292-b90a-9016cdec85da
a32652e8-a1ab-47c0-b662-29cc5af95c78,Hayden-Valenzuela Zorg,02284fd9-689b-4a65-a05d-d4d60ecfb95b,f3cc9d8a-4b16-48e4-9f20-f4063438b4e4
5a9414b8-40aa-4c7a-bf1d-f6871a1ec042,Smith-Evans Zorg,9e65736c-72f7-44b1-b2f1-1ef9d4864482,8b92c247-4d18-4103-a100-ed14fa92cd28
6a447a90-be0a-4a56-b900-9c61a1d20ebc,Wilson-Villarreal Gesundheitszentrum,889c8ae2-4e3c-4f2d-8332-559dcad00273,116e8a64-29de-4984-8312-77fdeb83af16
62565a95-5487-45c3-b762-6f4975fd3537,Wallace and Sons Gesundheitszentrum,f55b2e5c-a6ed-4ac0-be22-e1b751783032,9f032cdc-e328-46d3-8d6a-78b07eda9ab9
de6c8762-b475-415e-962d-5c729ccd3e1f,Anderson-Lozano Zorg,862f78e1-25c2-4b6a-b575-bc6eeee84bcb,638d521a-fbc5-4e92-8a12-09ad596305b3
0761585b-4168-405a-933c-9a31e4bacd78,"Blevins, Spears and Villa Gesundheitszentrum",aa66b464-8420-48d9-b261-d0d2a1c2d9bf,b440ffe0-4137-40e2-bd7d-e1f57460d20d
3fee2fc7-2e2d-4fdf-b57b-8a920a12f3b3,"Daniel, Turner and Black Tervisekeskus",4053b188-339d-48f5-9658-b1b33012ae1c,df39ccaa-580c-49fc-bb69-e69041300879
