identifier,serviceDepartmentName,address,isPartOf,contactPoint
833cf90f-f555-4628-9d15-3fb4968051b7,Midwifery,fefd320b-f5ef-4a99-810f-5ddfa2251838,71545a13-7a1d-4006-8d72-3104f77383c1,a49999cf-87e5-4bbc-a2e9-e671ab341860
f64e8f4a-ef89-42e7-aa17-06669b6e83a9,Podiatric,d6a2c379-e0c6-48a7-8748-f7ea72789d75,71545a13-7a1d-4006-8d72-3104f77383c1,6251d74d-61f9-4408-b833-0558fb2323e7
ca687a98-f48e-49a8-aaeb-5a328fad725d,Toxicologic,45a16970-a11b-46b0-8823-6adf3f7512c5,71545a13-7a1d-4006-8d72-3104f77383c1,5804a881-1d8c-4a3b-a261-479043a061c4
8fa41d22-46dd-40ac-a0e3-0a4dfbcefcd0,Primary Care,20d5c16e-9611-49cf-bfbd-fd47dc7972f0,71545a13-7a1d-4006-8d72-3104f77383c1,d733f669-852d-4585-88df-6b197c3ad037
080638c9-4967-49fb-b2e0-2961ac73189c,Rheumatologic,039d60ba-9c99-4735-95a6-52a708fce7af,71545a13-7a1d-4006-8d72-3104f77383c1,2a9e9a38-1d5a-474c-8da8-40fd4adb0798
b4ca0142-3b23-4fd8-8d20-f686854df9b6,Speech Pathology,8c3fa29f-fa4b-4bc6-9121-f31f5028361f,71545a13-7a1d-4006-8d72-3104f77383c1,0c661a49-4995-4cf1-baaf-500ca74b3d20
b8c5ee78-d214-4218-9d3b-8d933b8ddd5b,Laboratory Science,e775f27e-2ec0-42f0-9310-0ac51932263c,6288e1a5-cc45-4821-98a6-416d1775336d,03e3c25b-700b-4433-b5d6-147620f12d46
65739938-a96e-4bf4-9865-23b8f9154865,Gynecologic,94d7f681-d551-4e14-a18d-99ce20fa5cd3,6288e1a5-cc45-4821-98a6-416d1775336d,3f79dd31-beb7-48d6-ab02-1118ae63ad3a
4bc01de3-d197-4561-b9b6-8b9523aa9e67,Anesthesia,0b9bcb7e-dba6-40f1-b5bb-cdb0bda31488,6288e1a5-cc45-4821-98a6-416d1775336d,82e2f424-0dbc-4d25-9aac-e3a3c2f89ef4
0044c690-f17a-4c84-8b3d-7ee7fa9f941a,Podiatric,4c43745b-8063-4ef2-a534-28bbb20ed719,6288e1a5-cc45-4821-98a6-416d1775336d,9090d244-c1d4-4db0-909b-f39cacb1691c
