identifier,healthcareOrganizationName,address,contactPoint
d3352057-bbda-4b05-8c76-622b89973416,Faulkner-Howard Zorg,161c51da-16db-4bdf-9ae0-9ff633d2efb1,1a499e5a-edf1-46e5-9db4-af65575735b8
655cabcd-64d6-4c82-88c6-737e0efe3a5a,"Garrett, Salazar and Clayton Tervisekeskus",ce138481-8902-4028-b356-3d22d846f3da,69058d69-75ce-4913-8ec8-3c036300c4f0
810792dd-3b06-4dd6-baf2-7f5e5f24b901,"Green, Jones and Shelton Tervisekeskus",716d9414-0803-4b4a-9645-6e4ca8d7e826,8b613ca9-1926-4c43-9ca0-ee329cd37960
07a12d79-2cb6-48dd-ac5b-a6dbacff7951,"Robinson, Montoya and Walters Gesundheitszentrum",7c40024d-39da-4710-8f0e-77ff563c196b,1b6fe81b-6d45-4db5-89bf-160641ac66e0
1395b0a1-a666-4812-b332-632ec39f96f2,"Mcneil, Gonzalez and Howard Tervisekeskus",a314ddb5-1b32-4696-bd11-91ba524c195d,429642a9-0ddf-41d5-b054-4323d639e4af
bc4aadc8-6bdd-45d7-b6aa-1ebd28e534d0,"Nash, Anderson and Collins Zorg",70eacd71-536a-4b19-b345-08dd4d3938fe,6cc2162c-f1e0-4947-a9ec-f8fdf3dcb332
0b3a120f-e8c3-4f9b-9fae-3dd52983762e,Loez-Key Gesundheitszentrum,b6230b37-981e-4691-b9bd-ca80e2905c7a,dfa0f384-2770-44b5-96e9-8fdd5331d397
215bd565-c6d1-4d33-8b36-3dd1be5f56bf,Williams and Sons Gesundheitszentrum,e74cd0cc-70fc-4857-ba17-724a4f9f7760,0a1a98ee-43f6-4c58-a16c-c708eeaa277e
379fce57-f677-4343-8f24-803fe04b7864,Pock LLC Zorg,0499dc41-9d95-4c48-bb5e-0c9da1d1777d,3e137f74-948f-40b1-bc38-8088fd5b1a5e
4d372cc0-64f9-450c-a9ec-d6bfb7d50893,Brady Inc Tervisekeskus,2c83764b-579d-4ad6-a2da-13c5d66eb094,a06a38c3-ea1c-4e4f-9f2f-50395e069d84
8dd40e3b-0ca8-4337-9307-f1722b120a89,Garcia PLC Gesundheitszentrum,d2db526a-45aa-4b19-9693-cfeaa9667e5e,2b0e9983-a77b-47d6-b81f-6a144e4ca465
55a8424d-259a-497c-a6e5-ca1eb51c27bc,Santana-Shaw Zorg,559f965e-f4a2-4e90-95f6-78f6758f830a,2c6bf8a5-4c03-4e82-99bf-c2e82016ab7a
123d3ac2-a564-47ad-9588-3dd341be360b,AL Zorg,d3d0ad66-485b-40a1-8d63-eec4e3da3348,959e6916-eab3-4e0d-a6ae-c6a013a748df
8b7c1736-5a27-405c-a612-be7c066623a6,Ibarra PLC Zorg,84a69483-e98f-43b5-838e-0539ed9ef11e,dc621e31-b745-4048-b434-75e5bc6a8d08
b8acbcd3-471b-4697-ad68-c55fb44c5b6a,"Chan, Hale and Fisher Zorg",ad41bedb-4dee-447f-9bed-bda99c00b65c,5cbe3487-d051-4354-9efd-020f35659f61
862ddad2-b78d-43b7-afee-2a3e569e078c,Spith Ltd Gesundheitszentrum,5d5dfbc6-55ba-4d3d-9a0a-6d68e916bd4c,7c2aeaa8-173f-4282-8f85-85f4dfdac187
e7cfb657-8903-4898-a3a8-27c3aa65d9ff,Carter Group Tervisekeskus,b19e72cb-1018-49d5-83e9-4ed2bc1958cc,a875ce70-068a-4131-9784-5b15622255da
a638634e-cbfe-44d9-acf4-828bb7e6adff,"Griffin, Ross and Saunders Zorg",606ede30-5ad4-470f-bab2-5f51c572ec10,3d8ef670-752d-4f11-ab70-b29a000e9296
0e5177be-c0f4-4f43-a128-e6b070f81cea,"Riggs, Martinez and Stephenson Zorg",58d28a36-6456-4c08-ba6e-c36dadc365d3,d81639d2-0c32-4e0f-8022-89cfb4be93bb
d4e51f1e-b7bc-43de-b273-798d75148f2c,Figeroa-Strong Zorg,5062d6b0-aafc-42e5-803b-b9ef46e64081,9cfe9ffb-f7ff-45ab-9bba-d6b9cde0bf11
fc80cf68-e6a3-4288-9e8e-8cdcd5afeabd,Mathis Inc Tervisekeskus,20b2657f-5802-4e20-a443-11eb0ee51475,7f258729-2042-4564-bace-f732f38e4721
58f24130-5eb9-4d86-afda-8374c76fdf90,Price-Robinson Zorg,4269c347-32ab-4398-8a4f-9add04dff5d1,edcd6a00-e4ef-466d-b5fc-9f2acce4e0d9
c875364d-268b-43eb-a4ec-84891421e97c,Williama-Williams Zorg,137e30ca-f454-4b9d-a57a-ac844abdc776,ea72b66b-36f0-414f-9286-1bf1c7ddbfb4
e01e940a-e408-4605-b445-d05be8b2918d,"Daniel, Turner and Black Tervisekeskus",a181f4d2-bc64-406c-abc2-11cde692512d,af6ea0d8-afa6-485d-ac2b-b1b1d2285ba1
d4ec7749-f774-4c5c-9d91-bb47ccc5f6ee,"Lam, Bishop and Mccormick Zorg",1b341c92-7782-4549-8dac-75c26f5efca7,52b359f6-a27c-4c3c-8e5a-9dfec6daf2d3
913d9fee-7a2e-4a45-8be2-9b1864443f8d,"Parker, Murphy and Brooks Gesundheitszentrum",457eb90d-46e5-4d39-86fc-e5ebb01d842d,dc73a425-61e7-416c-8f83-98489c158d18
a49c2330-b1ee-402e-84a2-22de302e66d5,"Delgado, Guerrero and Simpson Zorg",6741d3e6-2b07-443d-82b1-617c39ec76c5,089c5e3b-6edf-4417-9f99-f47da950e065
8bf8fa99-592a-451b-897b-d706772fb874,Smith Ltd Gesundheitszentrum,0d819cc8-2a77-4b4d-802b-555d74202b9d,f5803a24-6625-4492-9972-f38cafcda4cf
a66cb68f-bffb-4ebd-8264-5cf4206dfa7f,Newton Ltd Gesundheitszentrum,cead6b58-de55-4955-ab2b-afcb43d4eb0c,b616a54d-dd04-4b55-94d3-afade4248fd1
6e9b1f1f-36da-4f64-b30b-ea9567192a55,"Arnold, Villa and Johnson Tervisekeskus",c84d90e8-c7d6-4952-bc8f-ae1b900b3a65,97d4f959-be87-4bab-a5ae-e266dab65237
04e84425-938e-4c41-b773-7ea253574fd3,JJK Zorg,a50507f1-2ab9-47c3-bdef-1aa9de643308,01b72e1c-9307-4a67-bc84-80fca0772385
b0e145f7-a105-4d3d-8e20-3efa86bef4cc,Lee-Patton Gesundheitszentrum,7c74f1f4-7334-466f-b1ce-2f4801ffed9d,82fea186-56c2-4850-8a08-7306cd341388
4d0c8972-71b3-4edb-a100-c3fbd3541f09,KT Gesundheitszentrum,d24dd251-44d4-42ec-a7c2-6372db2c0d77,d9f4971a-2218-4fb5-944d-05ed3c4ac363
0076c126-3c42-4d82-8618-6d9f852947da,Long-Martinez Tervisekeskus,9032e2c1-4576-4082-a3cb-68b34f4680c9,7db38f42-5fbb-4d3a-ada3-496fee9bbc23
94137435-ac5d-4b9d-82dc-eb9a1f423d0b,Johnson PLC Gesundheitszentrum,50e70c4a-3bc6-4c9a-b23e-eaf7a1cab49b,407b884a-8eeb-4f91-a8dc-8da4ad2fb147
5e9ffb0c-469a-44bf-986c-ec71bde3e03c,Buck-Burke Zorg,847bb564-0ff1-41d5-a15c-6e0c9ee83ca1,331a2df9-3388-462d-9cf8-1b2225952783
58acc6ee-721a-478d-95e0-4c2874444aa9,Gibbs-Reese Gesundheitszentrum,8b4d0b86-4bba-42d0-9e7a-ba5f2ded17cd,dd171a63-39ca-4ec6-881a-8d0f276fa643
8fa9a0e5-8823-4ca1-85ff-e0971cc04235,Burch LLC Zorg,3e2d342f-86c3-47c7-b1d3-8c3f3c04e504,9db6ab26-48e5-4a31-8b47-f2fc0e14029b
a8fd5d9e-553e-4488-8351-76aea81d0086,"Cook, Wright and Taylor Gesundheitszentrum",b9757b03-7d50-4149-83a2-e151ce100fc9,bf6952ad-eaa1-4495-85ee-520a8508ee4d
45cb926b-86b5-4196-aef5-b9e2cbd09fe7,"Berg, Long and Middleton Tervisekeskus",0567812e-0ccc-43fb-a7af-e32bb5cd7c58,c4daabef-517d-42ee-a3cb-61fa1037459f
d7cfc453-e0e5-4546-9223-0d01613d07ff,Austin and Sons Tervisekeskus,e4af923a-c3fe-480a-a7e9-9f479c034024,780b6975-9630-4473-8f52-265852436fe7
06e034c9-ebae-47d5-bbf2-c05ecaeb410f,Reed-Fry Gesundheitszentrum,d1c92a53-9cb8-41ee-8977-b44ce367328a,da0af3a5-58ab-4772-b896-b22ae3d44f3a
286da25d-ae36-437b-8294-34fb6c14e75b,"Guerrero, Kim and Sutton Gesundheitszentrum",1fb95121-2d6f-4ad2-9bf3-89c76ebde24c,5ec554b6-b385-4210-baf4-6d1efc8a5f39
