identifier,serviceDepartmentName,address,isPartOf,contactPoint
21890f9d-1160-4fe3-9781-c199f16a201c,Nursing,ef67a43b-ae3e-44f3-acef-b222ff747d35,8a0f6258-8687-42d8-9a76-a6220d477718,8d6a9625-cfd3-48db-833c-8dbb022dd2cf
d6a8db12-29fe-4a37-ba9c-cb5f0c222199,Podiatric,541bdfe4-6b1f-4688-aae2-288aee78747b,8a0f6258-8687-42d8-9a76-a6220d477718,e862954f-9fec-4e5d-86aa-063a1aed456b
f546d00c-73ae-4f72-9509-43361436314e,Diet Nutrition,5641857a-06e1-46dc-960a-2a61624f43bb,8a0f6258-8687-42d8-9a76-a6220d477718,5210908f-4a17-4d63-8eb2-42cebcaccbcd
937ecf45-7c3a-4f92-9dd3-f66b4bfccf66,Otolaryngologic,9e316045-9aea-479d-bbdc-4002f7a0b5df,8a0f6258-8687-42d8-9a76-a6220d477718,f9806d5c-66ad-48ed-baf2-07473e513599
3c8a39ee-6a15-48d1-b2fe-cf9d8edeea51,Kidney,9725b914-34d8-4a7d-9b2a-b5725a0e4aba,0ed2f52b-b48b-4572-87a7-ac699ea1f6d2,466a1e68-ed89-448f-b97b-428a20e6c2d6
9e8c4e70-346e-4b1c-9245-43f30de530df,Public Health,999420b3-3fb4-45a5-be03-c5dcea4bd75d,0ed2f52b-b48b-4572-87a7-ac699ea1f6d2,38ce346b-f333-45f6-a306-e748fa1c19fa
9726408b-39f5-44d7-b4bc-73e1bf6a1ec9,Optometric,e08e3ed3-33c9-46ee-a244-3b1d6c50de60,0ed2f52b-b48b-4572-87a7-ac699ea1f6d2,7b0f30ff-5bb1-4cb1-97fd-56a6ef090dfc
3bb55d39-1d25-4505-91a1-fca1ff690342,Pharmacy Specialty,02eed237-f3f2-43a6-998a-40431c1ea142,0ed2f52b-b48b-4572-87a7-ac699ea1f6d2,47008665-a02b-441e-a26c-895d32f203ef
762e420d-cc48-42d8-b9f9-5154f21b68c7,Vision Care Center,da5c9b9e-2c51-4c7a-8ae4-e6d7b434f4d2,0ed2f52b-b48b-4572-87a7-ac699ea1f6d2,c4b897d7-d466-4c35-98e1-6bfac56c887a
288c4b73-2d96-444c-b206-4a36ba7360cc,Speech Pathology,715f90cd-c7fc-4b98-805a-71ccd535c68b,055ae6de-6ef0-429d-b7b5-4f0a08c87898,6c2935ea-d350-4315-a211-610a01946506
