entity_type,original_id,duplicate_id,variation_type,field_name
Address,c8a70639-eb11-47b3-a7a9-c3787c65c1e5,ebda6334-3500-40ce-a4b4-370baeff8a03,omission,text
Address,d3290a4c-b5d3-4b16-a619-4cb1d71037d1,66427692-e8cf-401b-b8bc-664eaa499e79,omission,text
Address,9cdeb3e6-0870-415c-afcd-81b5d24bace4,73aad31f-d553-4033-90d8-8572c1f524ea,omission,text
Address,971c702d-5bf4-4c04-ac64-2b4c49b25ded,02c5476f-fdf9-40a7-afc1-891d5725c1b7,omission,text
Address,0cc36d8c-7786-4fe5-9675-ebf74fe30c9a,aaed7e41-214d-40bd-9331-f7ba8a17a75a,omission,text
Address,4745dd9e-2789-4389-9f32-77fd1d77ce40,80bc43ce-88ec-4272-9b7b-ea4c029101ee,omission,text
Address,15ace7a1-ceca-4ee3-90da-8a9516408169,2fe82d1d-5024-4de0-99bd-2a0994285222,omission,text
Address,d3b564b0-8be0-4c3e-9c94-938160c6b3ed,b0028aaf-90d8-4949-b030-28584e2bf6c3,omission,text
Address,8147a8f4-5f0e-4320-b7f6-0e7f75f2bc20,8edbd841-5da0-47a4-9f9c-1b418f443163,omission,text
Address,e38690e7-e27a-48e9-91c3-d1bcc6be6432,65588e21-0732-488e-b8cd-815e96f020f7,omission,text
Address,24aeba79-e4b8-4987-98ba-0f0e120d7126,05f2f2b5-42ca-4965-8845-b119c9859fee,omission,text
Address,c13e66af-3c95-40d3-be2a-ad3e82221345,ab8fbef9-c2dc-4fef-af20-487764c3e81b,omission,text
Address,47b3df41-67c2-4355-8312-1af68b32992a,47883e21-d439-4db3-9427-98036b2071f2,omission,text
Address,641659c0-78b6-4daf-9afb-9565068a3c38,8a8cdffb-f5da-4692-bdde-fb591063e0ea,omission,text
Address,6d62e40c-638d-421a-bbc5-9e92ca1209ad,b693c484-6065-4b22-bb1d-596e70cfca45,omission,text
