row,identifier,column,original,new,variation
0,1f217475-66f0-4769-8909-c1ba18fa5472,serviceDepartmentName,Midwifery,Geburtshilfe,Translation
1,c9d4e1bb-c4d3-4ec2-baf3-d90e586a7302,serviceDepartmentName,Respiratory Therapy,Breathing Support,Alternate Naming
2,aef82d2e-51f8-4e44-924b-ba5b82042c0b,serviceDepartmentName,Obstetric,Pregnancy Care,Alternate Naming
3,09cef0ea-d6ca-4f41-adf1-fe3fefd9373e,serviceDepartmentName,Neurologic,Neurologisch,Translation
4,93c3150d-77c3-404f-9f7a-46b8450000a1,serviceDepartmentName,Surgical,Chirurgisch,Translation
5,3ca58162-4509-47a7-a2bc-5350a627e31d,serviceDepartmentName,Obstetric,Pregnancy Care,Alternate Naming
6,56c16359-352f-4341-83fa-a677b1a8e5c6,serviceDepartmentName,Renal,Nieren,Translation
7,6bfed001-18bc-4a21-b887-d3e9a3171056,serviceDepartmentName,Radiography,Radiograafia,Translation
8,c736e166-8042-402f-9d73-22518b763f63,serviceDepartmentName,Diet Nutrition,Dieedi toitumine,Translation
9,02246f10-ce65-4211-a3c9-c8d76ceb1865,serviceDepartmentName,Optometric,Optomeetriline,Translation
10,778d028c-e45e-45b9-a9f8-2b8b7dd5d97e,serviceDepartmentName,Plastic Surgery,Plastiline kirurgia,Translation
11,6689ef79-f8c3-4461-bc15-b016487eb3df,serviceDepartmentName,Pediatric,Child Health,Alternate Naming
12,3a94f14b-0830-4ee6-9a9c-1d73f173d2fe,serviceDepartmentName,Optometric,Optomeetriline,Translation
13,ab46afee-8898-4682-a096-8f2106e090ea,serviceDepartmentName,Podiatric,Podiatrisch,Translation
14,edabf3d2-53e4-4dd3-ae51-bca044c0a5ed,serviceDepartmentName,Speech Pathology,Spraakpathologie,Translation
15,955e988d-f24b-4d76-a07f-949ef11e71ae,serviceDepartmentName,Anesthesia,Anesthesie,Translation
16,9b3e6605-5083-4669-836c-d6021a54acb2,serviceDepartmentName,Musculoskeletal,Bone & Joint Clinic,Alternate Naming
17,57e061c6-0494-405d-b194-a9f14114fa10,serviceDepartmentName,Infectious,Besmettelijk,Translation
18,15362c1f-90b3-49d9-bf0a-837a3e0f7488,serviceDepartmentName,Neurologic,Neurologisch,Translation
19,5041b3d0-8950-4262-a797-765abc854e3f,serviceDepartmentName,Radiography,Radiografie,Translation
